Ticker,Date,Close,SharesOutstanding,MarketCap
ABCB.N,2025-07-03,67.74,68911000,4668031140.0
ABCB.N,2025-06-30,64.7,68911000,4458541700.0
ABCB.N,2025-05-30,61.2806,68911000,4222907426.6
ABCB.N,2025-04-30,58.4194,68911000,4025739273.4
ABCB.N,2025-03-31,57.3926,68911000,3954981458.6
ABCB.N,2025-02-28,64.1581,68911000,4421198829.1
ABCB.N,2025-01-31,65.2211,68911000,4494451222.1
ABCB.N,2024-12-31,62.1612,68911000,4283590453.2000003
ABCB.N,2024-11-29,69.5984,68911000,4796095342.4
ABCB.N,2024-10-31,61.3888,68911000,4230363596.8
ABCB.N,2024-09-30,61.7849,68911000,4257659243.9
ABCB.N,2024-08-30,60.8859,68911000,4195708254.9
ABCB.N,2024-07-31,60.1548,68911000,4145327422.8
ABCB.N,2024-06-28,49.7421,68911000,3427777853.1
ABCB.N,2024-05-31,49.2003,68911000,3390441873.2999997
ABCB.N,2024-04-30,46.7674,68911000,3222788301.4
ABCB.N,2024-03-28,47.6539,68911000,3283877902.9
ABCB.N,2024-02-29,45.4929,68911000,3134961231.9
ABCB.N,2024-01-31,48.7431,68911000,3358935764.1
ABCB.N,2023-12-29,52.0915,68911000,3589677356.5000005
ABCB.N,2023-11-30,41.6942,68911000,2873189016.2000003
ABCB.N,2023-10-31,36.5241,68911000,2516912255.1
ABCB.N,2023-09-29,37.5914,68911000,2590460965.4
ABCB.N,2023-08-31,39.7439,68911000,2738791892.8999996
ABCB.N,2023-07-31,42.5723,68911000,2933699765.2999997
ABCB.N,2023-06-30,33.3653,68911000,2299236188.2999997
ABCB.N,2023-05-31,30.6471,68911000,2111922308.1
ABCB.N,2023-04-28,32.531,68911000,2241743741.0
ABCB.N,2023-03-31,35.5219,68911000,2447849650.9
ABCB.N,2023-02-28,46.2931,68911000,3190103814.1000004
ABCB.N,2023-01-31,45.6065,68911000,3142789521.5
ABCB.N,2022-12-30,45.5871,68911000,3141452648.1
ABCB.N,2022-11-30,50.9764,68911000,3512834700.4
ABCB.N,2022-10-31,49.6557,68911000,3421823942.7000003
ABCB.N,2022-09-30,43.1005,68911000,2970098555.5
ABCB.N,2022-08-31,44.8499,68911000,3090651458.9
ABCB.N,2022-07-29,45.4359,68911000,3131033304.8999996
ABCB.N,2022-06-30,38.6047,68911000,2660288481.7000003
ABCB.N,2022-05-31,43.6398,68911000,3007262257.8
ABCB.N,2022-04-29,39.9162,68911000,2750665258.2000003
ABCB.N,2022-03-31,42.0029,68911000,2894461841.8999996
ABCB.N,2022-02-28,47.2251,68911000,3254328866.1
ABCB.N,2022-01-31,47.0438,68911000,3241835301.7999997
ABCB.N,2021-12-31,47.3968,68911000,3266160884.7999997
ABCB.N,2021-11-30,46.2935,68911000,3190131378.5
ABCB.N,2021-10-29,49.8319,68911000,3433966060.8999996
ABCB.N,2021-09-30,49.3468,68911000,3400537334.8
ABCB.N,2021-08-31,46.7042,68911000,3218433126.2
ABCB.N,2021-07-30,46.1067,68911000,3177258803.7
ABCB.N,2021-06-30,48.0227,68911000,3309292279.7
ABCB.N,2021-05-28,51.9569,68911000,3580401935.8999996
ABCB.N,2021-04-30,51.1531,68911000,3525011274.1
ABCB.N,2021-03-31,49.6589,68911000,3422044457.9
ABCB.N,2021-02-26,44.9267,68911000,3095943823.7
ABCB.N,2021-01-29,36.8825,68911000,2541609957.5
ABCB.N,2020-12-31,35.9018,68911000,2474028939.8
ABCB.N,2020-11-30,31.9468,68911000,2201485934.8
ABCB.N,2020-10-30,27.5225,68911000,1896602997.5
ABCB.N,2020-09-30,21.398,68911000,1474557578.0
ABCB.N,2020-08-31,22.8817,68911000,1576800828.6999998
ABCB.N,2020-07-31,21.5332,68911000,1483874345.2
ABCB.N,2020-06-30,22.0138,68911000,1516992971.8
ABCB.N,2020-05-29,22.467,68911000,1548223437.0
ABCB.N,2020-04-30,23.5797,68911000,1624900706.7
ABCB.N,2020-03-31,22.0312,68911000,1518192023.1999998
ABCB.N,2020-02-28,31.4908,68911000,2170062518.8
ABCB.N,2020-01-31,37.0279,68911000,2551629616.9
ABCB.N,2019-12-31,39.193,68911000,2700828823.0
ABCB.N,2019-11-29,40.0747,68911000,2761587651.7
ABCB.N,2019-10-31,39.3402,68911000,2710972522.2000003
ABCB.N,2019-09-30,36.944,68911000,2545847984.0
ABCB.N,2019-08-30,32.1877,68911000,2218086594.7
ABCB.N,2019-07-31,36.377,68911000,2506775447.0
ABCB.N,2019-06-28,35.8465,68911000,2470218161.5
ABCB.N,2019-05-31,32.1965,68911000,2218693011.5
ABCB.N,2019-04-30,33.264,68911000,2292255504.0
ABCB.N,2019-03-29,31.3389,68911000,2159594937.9
ABCB.N,2019-02-28,37.0892,68911000,2555853861.2
ABCB.N,2019-01-31,34.5238,68911000,2379069581.8
ABCB.N,2018-12-31,28.8107,68911000,1985374147.7
ABCB.N,2018-11-30,38.8396,68911000,2676475675.6
ABCB.N,2018-10-31,38.8941,68911000,2680231325.1
ABCB.N,2018-09-28,41.4423,68911000,2855830335.3
ABCB.N,2018-08-31,44.9251,68911000,3095833566.1
ABCB.N,2018-07-31,42.1653,68911000,2905652988.3
ABCB.N,2018-06-29,48.273,68911000,3326540703.0
ABCB.N,2018-05-31,50.3062,68911000,3466650548.2
ABCB.N,2018-04-30,46.6935,68911000,3217695778.5
ABCB.N,2018-03-29,47.7773,68911000,3292381520.2999997
ABCB.N,2018-02-28,47.9118,68911000,3301650049.8
ABCB.N,2018-01-31,48.2723,68911000,3326492465.3
ABCB.N,2017-12-29,43.4496,68911000,2994155385.6
ABCB.N,2017-11-30,44.6201,68911000,3074815711.1
ABCB.N,2017-10-31,43.0908,68911000,2969430118.8
ABCB.N,2017-09-29,43.1807,68911000,2975625217.7000003
ABCB.N,2017-08-31,39.5448,68911000,2725071712.8
ABCB.N,2017-07-31,41.1158,68911000,2833330893.8
ABCB.N,2017-06-30,43.2703,68911000,2981799643.2999997
ABCB.N,2017-05-31,38.8357,68911000,2676206922.7000003
ABCB.N,2017-04-28,42.1952,68911000,2907713427.2
ABCB.N,2017-03-31,41.2993,68911000,2845976062.3
ABCB.N,2017-02-28,43.173,68911000,2975094603.0
ABCB.N,2017-01-31,40.3127,68911000,2777988469.7
ABCB.N,2016-12-30,38.9719,68911000,2685592600.9
ABCB.N,2016-11-30,39.9994,68911000,2756398653.4
ABCB.N,2016-10-31,32.3741,68911000,2230931605.1
ABCB.N,2016-09-30,31.1701,68911000,2147962761.1
ABCB.N,2016-08-31,30.9652,68911000,2133842897.2
ABCB.N,2016-07-29,29.489,68911000,2032116479.0
ABCB.N,2016-06-30,26.412,68911000,1820077332.0
ABCB.N,2016-05-31,28.2565,68911000,1947183671.5
ABCB.N,2016-04-29,27.8748,68911000,1920880342.8
ABCB.N,2016-03-31,26.2591,68911000,1809540840.1
ABCB.N,2016-02-29,23.9187,68911000,1648261535.7
ABCB.N,2016-01-29,25.638,68911000,1766740218.0
ABCB.N,2015-12-31,30.1222,68911000,2075750924.2
ABCB.N,2015-11-30,30.256,68911000,2084971216.0
ABCB.N,2015-10-30,27.8755,68911000,1920928580.5
ABCB.N,2015-09-30,25.442,68911000,1753233662.0
ABCB.N,2015-08-31,24.0894,68911000,1660024643.4
ABCB.N,2015-07-31,23.8597,68911000,1644195786.7
ABCB.N,2015-06-30,22.3403,68911000,1539492413.3
ABCB.N,2015-05-29,22.2092,68911000,1530458181.2
ABCB.N,2015-04-30,22.0329,68911000,1518309171.9
ABCB.N,2015-03-31,23.2672,68911000,1603366019.2
ABCB.N,2015-02-27,23.0295,68911000,1586985874.5
ABCB.N,2015-01-30,21.2343,68911000,1463276847.3000002
ABCB.N,2014-12-31,22.5631,68911000,1554845784.1
ABCB.N,2014-11-28,22.0894,68911000,1522202643.4
ABCB.N,2014-10-31,21.782,68911000,1501019402.0
ABCB.N,2014-09-30,19.2788,68911000,1328521386.8
ABCB.N,2014-08-29,20.0593,68911000,1382306422.3
ABCB.N,2014-07-31,19.1391,68911000,1318894520.1
ABCB.N,2014-06-30,18.8509,68911000,1299034369.8999999
ABCB.N,2014-05-30,18.37,68911000,1265895070.0
ABCB.N,2014-04-30,18.5973,68911000,1281558540.3
ABCB.N,2014-03-31,20.3723,68911000,1403875565.3
ABCB.N,2014-02-28,18.3962,68911000,1267700538.2
ABCB.N,2014-01-31,17.8979,68911000,1233362186.9
ABCB.N,2013-12-31,18.4574,68911000,1271917891.4
ABCB.N,2013-11-29,17.8979,68911000,1233362186.9
ABCB.N,2013-10-31,16.0005,68911000,1102610455.5
ABCB.N,2013-09-30,16.0705,68911000,1107434225.5
ABCB.N,2013-08-30,16.7525,68911000,1154431527.5
ABCB.N,2013-07-31,16.8312,68911000,1159854823.2
ABCB.N,2013-06-28,14.7327,68911000,1015245089.6999999
ABCB.N,2013-05-31,14.4442,68911000,995364266.2
ABCB.N,2013-04-30,12.1272,68911000,835697479.2
ABCB.N,2013-03-28,12.5469,68911000,864619425.9000001
ABCB.N,2013-02-28,12.1359,68911000,836297004.9
ABCB.N,2013-01-31,11.5938,68911000,798940351.8
ABCB.N,2012-12-31,10.9206,68911000,752549466.6
ABCB.N,2012-11-30,9.9588,68911000,686270866.8
ABCB.N,2012-10-31,9.3293,68911000,642891392.3
ABCB.N,2012-09-28,11.008,68911000,758572287.9999999
ABCB.N,2012-08-31,10.3785,68911000,715192813.5
ABCB.N,2012-07-31,10.4397,68911000,719410166.7
ABCB.N,2012-06-29,11.0168,68911000,759178704.8
ABCB.N,2012-05-31,9.9413,68911000,685064924.3
ABCB.N,2012-04-30,10.8419,68911000,747126170.9000001
ABCB.N,2012-03-30,11.4889,68911000,791711587.9
ABCB.N,2012-02-29,10.0725,68911000,694106047.5
ABCB.N,2012-01-31,9.3555,68911000,644696860.5
