symbol,year,fiscal_date,shares_outstanding,dec_price,market_cap
ABCB,2016,2016-01-31,68910896,28.93,
ABCB,2016,2016-02-29,68910896,26.99,
ABCB,2016,2016-03-31,68910896,29.58,
ABCB,2016,2016-04-30,68910896,31.4,
ABCB,2016,2016-05-31,68910896,31.83,
ABCB,2016,2016-06-30,68910896,29.7,
ABCB,2016,2016-07-31,68910896,33.16,
ABCB,2016,2016-08-31,68910896,34.82,
ABCB,2016,2016-09-30,68910896,34.95,
ABCB,2016,2016-10-31,68910896,36.3,
ABCB,2016,2016-11-30,68910896,44.85,
ABCB,2016,2016-12-31,68910896,43.6,
ABCB,2017,2017-01-31,68910896,45.1,
ABCB,2017,2017-02-28,68910896,48.3,
ABCB,2017,2017-03-31,68910896,46.1,
ABCB,2017,2017-04-30,68910896,47.1,
ABCB,2017,2017-05-31,68910896,43.35,
ABCB,2017,2017-06-30,68910896,48.2,
ABCB,2017,2017-07-31,68910896,45.8,
ABCB,2017,2017-08-31,68910896,44.05,
ABCB,2017,2017-09-30,68910896,48.0,
ABCB,2017,2017-10-31,68910896,47.9,
ABCB,2017,2017-11-30,68910896,49.6,
ABCB,2017,2017-12-31,68910896,48.2,
ABCB,2018,2018-01-31,68910896,53.55,
ABCB,2018,2018-02-28,68910896,53.15,
ABCB,2018,2018-03-31,68910896,52.9,
ABCB,2018,2018-04-30,68910896,51.7,
ABCB,2018,2018-05-31,68910896,55.7,
ABCB,2018,2018-06-30,68910896,53.35,
ABCB,2018,2018-07-31,68910896,46.6,
ABCB,2018,2018-08-31,68910896,49.65,
ABCB,2018,2018-09-30,68910896,45.7,
ABCB,2018,2018-10-31,68910896,42.89,
ABCB,2018,2018-11-30,68910896,42.83,
ABCB,2018,2018-12-31,68910896,31.67,
ABCB,2019,2019-01-31,68910896,37.95,
ABCB,2019,2019-02-28,68910896,40.77,
ABCB,2019,2019-03-31,68910896,34.35,
ABCB,2019,2019-04-30,68910896,36.46,
ABCB,2019,2019-05-31,68910896,35.29,
ABCB,2019,2019-06-30,68910896,39.19,
ABCB,2019,2019-07-31,68910896,39.77,
ABCB,2019,2019-08-31,68910896,35.19,
ABCB,2019,2019-09-30,68910896,40.24,
ABCB,2019,2019-10-31,68910896,42.85,
ABCB,2019,2019-11-30,68910896,43.65,
ABCB,2019,2019-12-31,68910896,42.54,
ABCB,2020,2020-01-31,68910896,40.19,
ABCB,2020,2020-02-29,68910896,34.18,
ABCB,2020,2020-03-31,68910896,23.76,
ABCB,2020,2020-04-30,68910896,25.43,
ABCB,2020,2020-05-31,68910896,24.23,
ABCB,2020,2020-06-30,68910896,23.59,
ABCB,2020,2020-07-31,68910896,23.075,
ABCB,2020,2020-08-31,68910896,24.52,
ABCB,2020,2020-09-30,68910896,22.78,
ABCB,2020,2020-10-31,68910896,29.3,
ABCB,2020,2020-11-30,68910896,34.01,
ABCB,2020,2020-12-31,68910896,38.07,
ABCB,2021,2021-01-31,69609228,39.11,
ABCB,2021,2021-02-28,69609228,47.64,
ABCB,2021,2021-03-31,69609228,52.51,
ABCB,2021,2021-04-30,69609228,54.09,
ABCB,2021,2021-05-31,69609228,54.94,
ABCB,2021,2021-06-30,69609228,50.63,
ABCB,2021,2021-07-31,69609228,48.61,
ABCB,2021,2021-08-31,69609228,49.24,
ABCB,2021,2021-09-30,69609228,51.88,
ABCB,2021,2021-10-31,69609228,52.39,
ABCB,2021,2021-11-30,69609228,48.67,
ABCB,2021,2021-12-31,69609228,49.68,
ABCB,2022,2022-01-31,69369050,49.31,
ABCB,2022,2022-02-28,69369050,49.5,
ABCB,2022,2022-03-31,69369050,43.88,
ABCB,2022,2022-04-30,69369050,41.7,
ABCB,2022,2022-05-31,69369050,45.59,
ABCB,2022,2022-06-30,69369050,40.18,
ABCB,2022,2022-07-31,69369050,47.29,
ABCB,2022,2022-08-31,69369050,46.68,
ABCB,2022,2022-09-30,69369050,44.71,
ABCB,2022,2022-10-31,69369050,51.51,
ABCB,2022,2022-11-30,69369050,52.88,
ABCB,2022,2022-12-31,69369050,47.14,
ABCB,2023,2023-01-31,69053341,47.16,
ABCB,2023,2023-02-28,69053341,47.87,
ABCB,2023,2023-03-31,69053341,36.58,
ABCB,2023,2023-04-30,69053341,33.5,
ABCB,2023,2023-05-31,69053341,31.56,
ABCB,2023,2023-06-30,69053341,34.21,
ABCB,2023,2023-07-31,69053341,43.65,
ABCB,2023,2023-08-31,69053341,40.75,
ABCB,2023,2023-09-30,69053341,38.39,
ABCB,2023,2023-10-31,69053341,37.3,
ABCB,2023,2023-11-30,69053341,42.58,
ABCB,2023,2023-12-31,69053341,53.05,
ACNB,2016,2016-01-31,10473700,21.514929,
ACNB,2016,2016-02-29,10473700,21.594873,
ACNB,2016,2016-03-31,10473700,22.364334,
ACNB,2016,2016-04-30,10473700,22.054551,
ACNB,2016,2016-05-31,10473700,24.073137,
ACNB,2016,2016-06-30,10473700,25.092423,
ACNB,2016,2016-07-31,10473700,25.831905,
ACNB,2016,2016-08-31,10473700,27.18096,
ACNB,2016,2016-09-30,10473700,26.561394,
ACNB,2016,2016-10-31,10473700,26.88117,
ACNB,2016,2016-11-30,10473700,31.07823,
ACNB,2016,2016-12-31,10473700,31.228125,
ACNB,2017,2017-01-31,10473700,29.979,
ACNB,2017,2017-02-28,10473700,28.9797,
ACNB,2017,2017-03-31,10473700,28.829805,
ACNB,2017,2017-04-30,10473700,30.928335,
ACNB,2017,2017-05-31,10473700,28.230225,
ACNB,2017,2017-06-30,10473700,30.47865,
ACNB,2017,2017-07-31,10473700,28.430085,
ACNB,2017,2017-08-31,10473700,26.131695,
ACNB,2017,2017-09-30,10473700,27.68061,
ACNB,2017,2017-10-31,10473700,27.88047,
ACNB,2017,2017-11-30,10473700,28.9797,
ACNB,2017,2017-12-31,10473700,29.529315,
ACNB,2018,2018-01-31,10473700,30.228825,
ACNB,2018,2018-02-28,10473700,27.9804,
ACNB,2018,2018-03-31,10473700,29.229525,
ACNB,2018,2018-04-30,10473700,29.979,
ACNB,2018,2018-05-31,10473700,31.47795,
ACNB,2018,2018-06-30,10473700,34.026165,
ACNB,2018,2018-07-31,10473700,34.27599,
ACNB,2018,2018-08-31,10473700,35.77494,
ACNB,2018,2018-09-30,10473700,37.17396,
ACNB,2018,2018-10-31,10473700,40.07193,
ACNB,2018,2018-11-30,10473700,36.064737,
ACNB,2018,2018-12-31,10473700,39.222525,
ACNB,2019,2019-01-31,10473700,36.37452,
ACNB,2019,2019-02-28,10473700,39.37242,
ACNB,2019,2019-03-31,10473700,36.9741,
ACNB,2019,2019-04-30,10473700,37.843491,
ACNB,2019,2019-05-31,10473700,35.67501,
ACNB,2019,2019-06-30,10473700,39.542301,
ACNB,2019,2019-07-31,10473700,37.27389,
ACNB,2019,2019-08-31,10473700,33.656424,
ACNB,2019,2019-09-30,10473700,34.27599,
ACNB,2019,2019-10-31,10473700,35.365227,
ACNB,2019,2019-11-30,10473700,35.195346,
ACNB,2019,2019-12-31,10473700,37.793526,
ACNB,2020,2020-01-31,10473700,32.027565,
ACNB,2020,2020-02-29,10473700,30.458664,
ACNB,2020,2020-03-31,10473700,29.979,
ACNB,2020,2020-04-30,10473700,27.940428,
ACNB,2020,2020-05-31,10473700,24.822612,
ACNB,2020,2020-06-30,10473700,26.161674,
ACNB,2020,2020-07-31,10473700,20.58558,
ACNB,2020,2020-08-31,10473700,21.005286,
ACNB,2020,2020-09-30,10473700,20.78544,
ACNB,2020,2020-10-31,10473700,20.855391,
ACNB,2020,2020-11-30,10473700,24.892563,
ACNB,2020,2020-12-31,10473700,24.9825,
ACNB,2021,2021-01-31,8679206,25.032465,
ACNB,2021,2021-02-28,8679206,27.590673,
ACNB,2021,2021-03-31,8679206,29.27949,
ACNB,2021,2021-04-30,8679206,27.48075,
ACNB,2021,2021-05-31,8679206,28.8,
ACNB,2021,2021-06-30,8679206,27.91,
ACNB,2021,2021-07-31,8679206,27.93,
ACNB,2021,2021-08-31,8679206,28.81,
ACNB,2021,2021-09-30,8679206,28.0,
ACNB,2021,2021-10-31,8679206,27.75,
ACNB,2021,2021-11-30,8679206,29.04,
ACNB,2021,2021-12-31,8679206,31.28,
ACNB,2022,2022-01-31,8515120,32.39,
ACNB,2022,2022-02-28,8515120,32.18,
ACNB,2022,2022-03-31,8515120,34.95,
ACNB,2022,2022-04-30,8515120,34.23,
ACNB,2022,2022-05-31,8515120,34.51,
ACNB,2022,2022-06-30,8515120,29.69,
ACNB,2022,2022-07-31,8515120,32.89,
ACNB,2022,2022-08-31,8515120,35.56,
ACNB,2022,2022-09-30,8515120,30.04,
ACNB,2022,2022-10-31,8515120,36.59,
ACNB,2022,2022-11-30,8515120,39.3,
ACNB,2022,2022-12-31,8515120,39.81,
ACNB,2023,2023-01-31,8511453,39.35,
ACNB,2023,2023-02-28,8511453,37.04,
ACNB,2023,2023-03-31,8511453,32.55,
ACNB,2023,2023-04-30,8511453,30.33,
ACNB,2023,2023-05-31,8511453,29.45,
