symbol,year,fiscal_date,shares_outstanding
ABCB,2016,2016-12-31,68910896
ABCB,2017,2017-12-31,68910896
ABCB,2018,2018-12-31,68910896
ABCB,2019,2019-12-31,68910896
ABCB,2020,2020-12-31,68910896
ABCB,2021,2021-12-31,69609228
ABCB,2022,2022-12-31,69369050
ABCB,2023,2023-12-31,69053341
ACNB,2016,2016-12-31,10473700
ACNB,2017,2017-12-31,10473700
ACNB,2018,2018-12-31,10473700
ACNB,2019,2019-12-31,10473700
ACNB,2020,2020-12-31,10473700
ACNB,2021,2021-12-31,8679206
ACNB,2022,2022-12-31,8515120
ACNB,2023,2023-12-31,8511453
AROW,2016,2016-12-31,16478800
AROW,2017,2017-12-31,16478800
AROW,2018,2018-12-31,16478800
AROW,2019,2019-12-31,16478800
AROW,2020,2020-12-31,16478800
AROW,2021,2021-12-31,17017610
AROW,2022,2022-12-31,17048186
AROW,2023,2023-12-31,16942486
ASB,2016,2016-12-31,165810000
ASB,2017,2017-12-31,165810000
ASB,2018,2018-12-31,165810000
ASB,2019,2019-12-31,165810000
ASB,2020,2020-12-31,165810000
ASB,2021,2021-12-31,149342641
ASB,2022,2022-12-31,150444019
ASB,2023,2023-12-31,151036674
ATLO,2016,2016-12-31,8915560
ATLO,2017,2017-12-31,8915560
ATLO,2018,2018-12-31,8915560
ATLO,2019,2019-12-31,8915560
ATLO,2020,2020-12-31,8915560
ATLO,2021,2021-12-31,9092167
ATLO,2022,2022-12-31,8992167
ATLO,2023,2023-12-31,8992167
AUBN,2016,2016-12-31,3493700
AUBN,2017,2017-12-31,3493700
AUBN,2018,2018-12-31,3493700
AUBN,2019,2019-12-31,3493700
AUBN,2020,2020-12-31,3493700
AUBN,2021,2021-12-31,3520485
AUBN,2022,2022-12-31,3503452
AUBN,2023,2023-12-31,3493614
BAC,2016,2016-12-31,7531879936
BAC,2017,2017-12-31,7531879936
BAC,2018,2018-12-31,7531879936
BAC,2019,2019-12-31,7531879936
BAC,2020,2020-12-31,7531879936
BAC,2021,2021-12-31,8077831463
BAC,2022,2022-12-31,7996777943
BAC,2023,2023-12-31,7895457665
BANC,2016,2016-12-31,147140000
BANC,2017,2017-12-31,147140000
BANC,2018,2018-12-31,147140000
BANC,2019,2019-12-31,147140000
BANC,2020,2020-12-31,147140000
BANC,2021,2021-12-31,62665527
BANC,2022,2022-12-31,59021855
BANC,2023,2023-12-31,168097660
BANF,2016,2016-12-31,33242800
BANF,2017,2017-12-31,33242800
BANF,2018,2018-12-31,33242800
BANF,2019,2019-12-31,33242800
BANF,2020,2020-12-31,33242800
BANF,2021,2021-12-31,32603118
BANF,2022,2022-12-31,32875560
BANF,2023,2023-12-31,32933018
BANR,2016,2016-12-31,34580000
BANR,2017,2017-12-31,34580000
BANR,2018,2018-12-31,34580000
BANR,2019,2019-12-31,34580000
BANR,2020,2020-12-31,34580000
BANR,2021,2021-12-31,34252632
BANR,2022,2022-12-31,34194018
BANR,2023,2023-12-31,34348369
BCBP,2016,2016-12-31,17162600
BCBP,2017,2017-12-31,17162600
BCBP,2018,2018-12-31,17162600
BCBP,2019,2019-12-31,17162600
BCBP,2020,2020-12-31,17162600
BCBP,2021,2021-12-31,16940133
BCBP,2022,2022-12-31,16930979
BCBP,2023,2023-12-31,16904323
BFIN,2016,2016-12-31,12460700
BFIN,2017,2017-12-31,12460700
BFIN,2018,2018-12-31,12460700
BFIN,2019,2019-12-31,12460700
BFIN,2020,2020-12-31,12460700
BFIN,2021,2021-12-31,13228485
BFIN,2022,2022-12-31,12742597
BFIN,2023,2023-12-31,12475881
BHB,2016,2016-12-31,15321800
BHB,2017,2017-12-31,15321800
BHB,2018,2018-12-31,15321800
BHB,2019,2019-12-31,15321800
BHB,2020,2020-12-31,15321800
BHB,2021,2021-12-31,15001329
BHB,2022,2022-12-31,15082688
BHB,2023,2023-12-31,15172131
BHLB,2016,2016-12-31,46312000
BHLB,2017,2017-12-31,46312000
BHLB,2018,2018-12-31,46312000
BHLB,2019,2019-12-31,46312000
BHLB,2020,2020-12-31,46312000
BHLB,2021,2021-12-31,48667110
BHLB,2022,2022-12-31,44361222
BHLB,2023,2023-12-31,43500872
BKU,2016,2016-12-31,75211904
BKU,2017,2017-12-31,75211904
BKU,2018,2018-12-31,75211904
BKU,2019,2019-12-31,75211904
BKU,2020,2020-12-31,75211904
BKU,2021,2021-12-31,85647986
BKU,2022,2022-12-31,75674587
BKU,2023,2023-12-31,74372505
BMRC,2016,2016-12-31,16216100
BMRC,2017,2017-12-31,16216100
BMRC,2018,2018-12-31,16216100
BMRC,2019,2019-12-31,16216100
BMRC,2020,2020-12-31,16216100
BMRC,2021,2021-12-31,15929243
BMRC,2022,2022-12-31,16029138
BMRC,2023,2023-12-31,16158413
BOH,2016,2016-12-31,39734800
BOH,2017,2017-12-31,39734800
BOH,2018,2018-12-31,39734800
BOH,2019,2019-12-31,39734800
BOH,2020,2020-12-31,39734800
BOH,2021,2021-12-31,40253193
BOH,2022,2022-12-31,39835750
BOH,2023,2023-12-31,39753138
BOKF,2016,2016-12-31,64261800
BOKF,2017,2017-12-31,64261800
BOKF,2018,2018-12-31,64261800
BOKF,2019,2019-12-31,64261800
BOKF,2020,2020-12-31,64261800
BOKF,2021,2021-12-31,68467772
BOKF,2022,2022-12-31,66958634
BOKF,2023,2023-12-31,64967177
BRKL,2016,2016-12-31,89104600
BRKL,2017,2017-12-31,89104600
BRKL,2018,2018-12-31,89104600
BRKL,2019,2019-12-31,89104600
BRKL,2020,2020-12-31,89104600
BRKL,2021,2021-12-31,78139708
BRKL,2022,2022-12-31,76844232
BRKL,2023,2023-12-31,88894577
BSRR,2016,2016-12-31,13818800
