Total valid regressions: 0
Total insufficient data: 1191
Insufficient data (instrument, year, n_obs):
('ABCB.N', 2016, 1)
('ABCB.N', 2017, 1)
('ABCB.N', 2018, 1)
('ABCB.N', 2019, 1)
('ABCB.N', 2020, 1)
('ABCB.N', 2021, 1)
('ABCB.N', 2022, 1)
('ABCB.N', 2023, 1)
('ACNB.OQ', 2018, 1)
('ACNB.OQ', 2019, 1)
('ACNB.OQ', 2020, 1)
('ACNB.OQ', 2021, 1)
('ACNB.OQ', 2022, 1)
('ACNB.OQ', 2023, 1)
('AROW.OQ', 2017, 1)
('AROW.OQ', 2018, 1)
('AROW.OQ', 2019, 1)
('AROW.OQ', 2020, 1)
('AROW.OQ', 2021, 1)
('AROW.OQ', 2022, 1)
('ASB.N', 2016, 1)
('ASB.N', 2017, 1)
('ASB.N', 2018, 1)
('ASB.N', 2019, 1)
('ASB.N', 2020, 1)
('ASB.N', 2021, 1)
('ASB.N', 2022, 1)
('ASB.N', 2023, 1)
('ATLO.OQ', 2018, 1)
('ATLO.OQ', 2019, 1)
('ATLO.OQ', 2021, 1)
('ATLO.OQ', 2022, 1)
('ATLO.OQ', 2023, 1)
('AUBN.OQ', 2018, 1)
('AUBN.OQ', 2019, 1)
('AUBN.OQ', 2020, 1)
('AUBN.OQ', 2021, 1)
('AUBN.OQ', 2022, 1)
('BAC.N', 2016, 1)
('BAC.N', 2017, 1)
('BAC.N', 2018, 1)
('BAC.N', 2019, 1)
('BAC.N', 2020, 1)
('BAC.N', 2021, 1)
('BAC.N', 2022, 1)
('BANC.N', 2017, 1)
('BANC.N', 2018, 1)
('BANC.N', 2019, 1)
('BANC.N', 2020, 1)
('BANC.N', 2021, 1)
('BANC.N', 2022, 1)
('BANC.N', 2023, 1)
('BANF.OQ', 2016, 1)
('BANF.OQ', 2017, 1)
('BANF.OQ', 2018, 1)
('BANF.OQ', 2019, 1)
('BANF.OQ', 2020, 1)
('BANF.OQ', 2021, 1)
('BANF.OQ', 2022, 1)
('BANF.OQ', 2023, 1)
('BANR.OQ', 2016, 1)
('BANR.OQ', 2017, 1)
('BANR.OQ', 2018, 1)
('BANR.OQ', 2019, 1)
('BANR.OQ', 2020, 1)
('BANR.OQ', 2021, 1)
