instrument,year,beta_mkt,beta_smb,beta_hml,n_obs
ABCB.N,2016,0.018039693547975057,0.007351296976923889,0.014121829730371125,12
ABCB.N,2017,0.03471858110641272,0.023776971574032267,-0.008889808566890173,12
ABCB.N,2018,0.016633589885393693,0.01402462056827151,0.008460948083325977,12
ABCB.N,2019,0.004745641130524089,0.03350550462746691,0.014531485734985779,12
ABCB.N,2020,0.0056656624370104046,0.00854639471617849,0.02825156009809908,12
ABCB.N,2021,0.010660244452137691,0.005595155301277072,0.014212365713917744,12
ABCB.N,2022,0.007678978504618307,0.028449956461409406,0.017755291783550776,12
ABCB.N,2023,0.006351885240046925,0.02071798191493172,0.014024516164605701,12
ACNB.OQ,2016,0.002955881585649094,0.006910908200012762,0.005852861784436463,12
ACNB.OQ,2017,0.012638681119379049,0.024190221171476834,-0.005784916977928545,12
ACNB.OQ,2018,-0.002632170040119555,0.0019127844114161041,-0.009592071958560763,12
ACNB.OQ,2019,0.0030974123234531947,0.014847527681840054,0.004488507575988722,12
ACNB.OQ,2020,0.0008201617273844142,0.030913669442584446,-0.003388280523908636,12
ACNB.OQ,2021,0.002687947502987416,0.00042634792340941977,0.00682367892634502,12
ACNB.OQ,2022,0.009949296538398567,0.013296191372224125,0.013495783330857838,12
ACNB.OQ,2023,0.007866985704348572,0.00720792577063134,0.004680626490573391,12
AROW.OQ,2016,-0.0028292333693237465,0.01849513196749739,0.009578905144371192,12
AROW.OQ,2017,0.019566926128425432,0.015328788215797692,0.0005838503737703657,12
AROW.OQ,2018,0.007501216743352992,0.01566428330801994,0.012363170335717254,12
AROW.OQ,2019,0.000645001057412626,0.021338674612177144,0.004929642193358794,12
AROW.OQ,2020,0.006065172922732067,0.014776879830087911,0.005002368615982612,12
AROW.OQ,2021,0.011032571874867227,-0.0012350635972774703,0.005791324954242243,12
AROW.OQ,2022,0.005057619317113354,0.021985433836605093,0.016204544422510594,12
AROW.OQ,2023,0.007562849425197838,0.001085719728133469,0.013078504837840598,12
ASB.N,2016,0.011002024041333904,0.00016735292158183337,0.01093233055696978,12
ASB.N,2017,0.03154287163779077,0.020606247314251237,-0.006325945104021973,12
ASB.N,2018,0.010492623010720412,0.01727396390806,0.010497674355301316,12
ASB.N,2019,0.011743411805328938,0.014748091166436217,0.00734792543071824,12
ASB.N,2020,0.009835886031694682,0.01641956833603703,0.00910928240812557,12
ASB.N,2021,0.006733926052903707,0.0032123120107302623,0.011493158722654473,12
ASB.N,2022,0.006851023855143719,0.02311846463511716,0.017670043035505657,12
ASB.N,2023,0.005693649968185303,0.013052817436488706,0.01630982627940189,12
ATLO.OQ,2016,0.002015547954630683,0.005053777672859654,0.008018351820977026,12
ATLO.OQ,2017,0.03474005376316182,0.026020809122406167,-0.012164356212226694,12
ATLO.OQ,2018,0.00695568177040704,0.016040000434704844,0.016885940024144938,12
ATLO.OQ,2019,0.003880307063174191,0.0054057077498512246,0.0044906129697192725,12
ATLO.OQ,2020,0.005408400628820385,0.0156274637197409,0.012812535893495706,12
