instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,WACC_CAPM,yyyymm,mkt_rf,smb,hml,rf,WACC_FF,ticker_prefix,Year,Month,market_cap,equity_vol,asset_value,asset_vol,merton_status,distance_to_default,probability_of_default
BAC.N,2019-12-31,0.231232162,0.252632162,0.096474856,93.71635181,92.01588734,78.05375406,86.22948996,94.22387632,86.9951807,57.21303111,76.28986619,48.92282579,43.48201175,2434079.0,430169.0,1.289136553,14.7,5.349237711,1.646262365,28.77183,1.958150658,62.14512496,34.75691033,14.70507901,0.176727625,1.787993362,0.724091742,0.0591480901067067,201912,2.77,0.76,1.73,0.14,1.642293513268592,BAC,2019,12,231438855452.0,0.2979666327231077,231439272907.58472,0.2979660952696617,converged,44.23744256339208,0.0
BAC.N,2021-12-31,0.425188022,0.425588022,0.176394999,93.99980913,93.5264954,70.21682698,83.9594101,92.5716326,91.55028176,75.58004541,84.66738501,50.49034335,47.56625065,3169495.0,496199.0,1.464727956,15.8,1.630812608,1.488893228,19.20182099,1.50095176,57.52450314,39.80816052,14.96908283,0.156554593,1.445042986,0.686895608,0.0604077549030132,202112,3.23,-1.62,3.24,0.01,1.9253813023077455,BAC,2021,12,305945718788.0,0.2591478291349732,305946200322.1033,0.2591474212576498,converged,51.4315906171242,0.0
ASB.N,2016-12-31,0.316896093,0.318896093,0.202911468,21.15270351,51.36160457,54.43117179,45.07057771,18.2821119,46.74700286,54.13398693,42.67474871,45.07057771,42.67474871,29139.315,3853.83,1.281778915,12.68,6.444819083,1.211613167,29.66529,2.174938562,34.67078609,61.96618728,10.27984357,0.13225534,0.559511366,0.869455671,0.0764489075709542,201612,1.81,0.14,3.47,0.03,1.382824350030859,ASB,2016,12,3021489306.0,0.210795844565878,3021493045.9321117,0.2107955836478054,converged,64.42249201907175,0.0
ASB.N,2017-12-31,0.186351252,0.194351252,0.1499314,22.15799615,55.95320385,58.34019675,48.75525994,21.15270351,51.36160457,54.43117179,45.07057771,48.75525994,45.07057771,30483.594,4073.732,1.261481048,13.22,7.019117242,1.182026603,30.20409,2.410563459,21.42974031,75.28940467,10.32494392,0.133636867,0.284631555,0.986122367,0.0884881764667023,201712,1.06,-1.32,0.05,0.09,1.0147032037840296,ASB,2017,12,3171497613.0000005,0.1864897245576305,3171501566.335026,0.1864894920947611,converged,72.80714244788396,0.0
ASB.N,2018-12-31,-0.298050501,-0.279950501,-0.214269787,49.46342334,54.75894649,35.5374195,42.02091281,22.15799615,55.95320385,58.34019675,48.75525994,42.02091281,48.75525994,33615.122,4527.056,0.923416031,13.47,8.075832362,1.066817217,30.20409,3.342762277,17.52583241,77.9990597,10.4227313,0.134673199,0.224692868,0.922192982,0.0857362076204829,201812,-9.55,-2.33,-1.94,0.19,-7.794338465405075,ASB,2018,12,2531736309.0,0.2135487850244838,2531740702.261276,0.2135484144590464,converged,62.00722389354239,0.0
ASB.N,2019-12-31,0.025128638,0.046528638,0.03756115,51.40386566,65.72278597,46.00551841,51.79833238,49.46342334,54.75894649,35.5374195,42.02091281,51.79833238,42.02091281,32386.478,4195.423,0.945066493,13.21,7.344833488,1.212277798,30.20409,2.246902417,20.36161662,73.86407441,10.38549627,0.129542428,0.275663329,1.016668937,0.0880330689158366,201912,2.77,0.76,1.73,0.14,2.5869655426475364,ASB,2019,12,2914110750.0,0.2733677396022848,2914114821.429512,0.2733673576689903,converged,49.17821117227496,0.0
ASB.N,2020-12-31,-0.240059318,-0.235659318,-0.105415598,49.67131823,62.29109343,46.61129568,50.34298772,51.40386566,65.72278597,46.00551841,51.79833238,50.34298772,51.79833238,33419.783,2434.505,0.700445794,14.02,5.277634893,1.219278569,28.48654,2.196761976,43.66962993,47.64335788,10.41690331,0.072846224,0.916594293,0.736506911,0.0618167887099292,202012,4.63,5.01,-1.69,0.01,2.7012160670875556,ASB,2020,12,2365959471.0,0.419608872661605,2365961833.5545044,0.4196084536570366,converged,32.718397341350766,4.2756088813766204e-235
ASB.N,2021-12-31,0.24440949,0.24480949,0.200130967,51.67527036,72.07186715,43.24541309,54.76490108,49.67131823,62.29109343,46.61129568,50.34298772,54.76490108,50.34298772,35104.253,2224.633,0.880469596,13.1,1.922769597,1.134023776,22.48194681,1.50709914,14.14496048,81.07465475,10.46607757,0.063372179,0.174468341,0.998924739,0.0903333255401232,202112,3.23,-1.62,3.24,0.01,2.9794409159028494,ASB,2021,12,3247803375.0,0.198835957282783,3247805533.8851595,0.1988358251123109,converged,71.43647427222218,0.0
ASB.N,2022-12-31,0.049694408,0.063894408,0.056841911,50.5324411,72.6085666,66.2694704,63.4980147,51.67527036,72.07186715,43.24541309,54.76490108,63.4980147,54.76490108,39405.727,5173.869,0.909031349,11.33,7.862610266,1.016004267,19.88698746,4.698168963,14.25072667,80.56755007,10.58166644,0.131297387,0.176879236,0.889902202,0.0868338994692334,202212,-6.37,-0.76,1.35,0.33,-4.943052617964702,ASB,2022,12,3442099533.0,0.3190551905450637,3442104553.958063,0.3190547251429546,converged,41.95855398119247,0.0
ASB.N,2023-12-31,-0.029892888,0.019607112,0.023862006,42.74738517,87.9108311,68.07526008,70.3186843,50.5324411,72.6085666,66.2694704,63.4980147,70.3186843,63.4980147,41015.855,2808.243,0.811755601,12.21,6.725299121,1.021308211,19.61724684,4.949070387,26.11070038,68.72327702,10.62171398,0.068467255,0.379939687,0.782368264,0.0801356923811451,202312,4.85,6.29,4.89,0.43,3.7099983321926473,ASB,2023,12,3343724460.0,0.4509960399760807,3343727185.2468767,0.4509956723995794,converged,30.86135843233865,1.9720461951339646e-209
