instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,rf,Year,ticker_prefix,Month,symbol,market_cap,equity_vol,asset_value,asset_vol,merton_status,distance_to_default,probability_of_default
JPM.N,2016-12-31,0.245916924,0.247916924,0.085799071,81.76677549,88.33451226,79.6714931,81.52125165,80.25788503,80.66396463,79.53450666,77.84192763,43.76062582,39.46444208,2490972.0,495354000.0,1.347064622,15.2,4.864092845,1.536081163,29.05903,2.126533677,66.06575072,30.58786752,14.72818355,0.198859722,2.15986782,0.60661174,0.0020000000000000018,2016,JPM,12,JPM,239807669196.80002,0.2388109151074729,,,not_converged,,
JPM.N,2017-12-31,0.223383343,0.231383343,0.098152028,83.07976953,90.87151471,78.3867751,82.35306372,81.76677549,88.33451226,79.6714931,81.52125165,44.13705817,43.76062582,2533600.0,494798000.0,1.595215926,15.7,4.749802032,1.21089798,28.38487,2.189746346,58.56747691,38.45027708,14.74515177,0.195294443,1.523200386,0.579143722,0.00799999999999998,2017,JPM,12,JPM,297195876044.8,0.1665673685309485,297686731452.1975,0.16629271573355986,converged,38.44919313201592,0.0
JPM.N,2018-12-31,-0.227840382,-0.209740382,-0.075206638,79.42625998,86.57218312,79.61549665,80.04651898,83.07976953,90.87151471,78.3867751,82.35306372,43.39404601,44.13705817,2622532.0,533627000.0,1.387652252,16.0,5.749096791,1.141126993,28.38487,2.730851781,55.92181156,41.07138674,14.77965082,0.203477784,1.361575929,0.577758212,0.018100000000000005,2018,JPM,12,JPM,271294757990.40002,0.2006783144884047,271818813227.4702,0.20029141514017643,converged,31.11084702559193,8.59085174634488e-213
JPM.N,2019-12-31,0.161745784,0.183145784,0.077109945,89.75067727,83.67356347,84.684426,83.90768208,79.42625998,86.57218312,79.61549665,80.04651898,43.2164673,43.39404601,2687379.0,516093000.0,1.834591094,16.6,4.696227415,1.223973573,26.62674,2.017936387,59.87430723,37.26255634,14.80407693,0.192043251,1.60682232,0.561719126,0.021400000000000002,2019,JPM,12,JPM,387405134848.0,0.2186322553038337,,,not_converged,,
JPM.N,2020-12-31,-0.128975728,-0.124575728,-0.03496142,90.72326167,85.53549577,87.0453177,85.54538377,89.75067727,83.67356347,84.684426,83.90768208,51.78431979,43.2164673,3384757.0,542102000.0,1.554374754,17.3,3.732272746,1.217916165,21.07742,1.306947606,63.28385214,33.30424226,15.03479267,0.160159799,1.900173907,0.487231507,0.004400000000000015,2020,JPM,12,JPM,353138956134.39996,0.3684461217517535,353678678125.45935,0.3678838642939921,converged,17.444148193076693,1.906808259525784e-68
JPM.N,2021-12-31,0.321116288,0.321516288,0.144609133,92.41564734,80.5458233,85.70191403,82.86750878,90.72326167,85.53549577,87.0453177,85.54538377,44.8912012,51.78431979,3743567.0,548939000.0,1.798016951,17.2,1.548870797,1.111852831,20.33657,1.407785494,53.79522759,43.10078694,15.13554946,0.146635281,1.248126343,0.557515263,0.00039999999999995595,2021,JPM,12,JPM,466206017110.75,0.1939583736889722,,,not_converged,,
JPM.N,2022-12-31,-0.01475927,-0.00055927,0.022397877,89.93750658,76.5931658,80.93472737,78.67279974,92.41564734,80.5458233,85.70191403,82.86750878,44.47658679,44.8912012,3665743.0,542505000.0,1.485248713,16.4,6.028440795,1.118365688,18.85095,4.457747482,62.44120952,33.9244106,15.1145416,0.14799319,1.840598213,0.448489391,0.014199999999999999,2022,JPM,12,JPM,393483971114.1,0.354456215260969,,,not_converged,,
JPM.N,2023-12-31,0.117533025,0.167033025,0.085678921,92.25661154,73.63736439,83.11535669,79.51238312,89.93750658,76.5931658,80.93472737,78.67279974,39.90589216,44.47658679,3875393.0,653072000.0,1.628492405,17.7,5.73092469,1.111174567,18.80043,4.397559661,58.74498167,38.73621158,15.17015763,0.168517619,1.516539157,0.497966737,0.0495,2023,JPM,12,JPM,489319626839.39996,0.2375101317127425,489941158830.43445,0.2372088299290619,converged,27.999460149985072,8.247758469034033e-173
BAC.N,2016-12-31,0.294272635,0.296272635,0.088169495,93.34922256,76.20075905,53.99551693,69.91846793,92.72934151,70.75346278,57.12465537,68.43271701,38.62590063,37.47722807,2188067.0,411058000.0,0.921933918,14.3,4.762380718,1.598445255,31.88739,2.361766859,69.9379706,25.9621837,14.59852906,0.187863534,2.693840064,0.563856359,0.0020000000000000018,2016,BAC,12,BAC,166454546585.6,0.4142781182726377,166864783291.1682,0.4132596164229674,converged,14.33194236291607,6.910027036710211e-47
BAC.N,2017-12-31,0.284169935,0.292169935,0.114572893,94.32511457,91.14427914,48.57815996,75.38431681,93.34922256,76.20075905,53.99551693,69.91846793,41.9684742,38.62590063,2281234.0,436933000.0,1.240411104,14.8,4.784765439,1.329092417,31.375235,2.049993302,60.67678975,36.2928731,14.64022708,0.191533617,1.67186515,0.618955918,0.008000000000000007,2017,BAC,12,BAC,222341095710.72,0.1647517381623982,,,not_converged,,
