instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,WACC_CAPM,yyyymm,mkt_rf_x,smb_x,hml_x,rf_x,WACC_FF,year,beta_mkt,beta_smb,beta_hml,n_obs,beta_merge,mkt_rf,smb,hml,rf,factor_merge,weight_sum,kE_FF
JPM.N,2016-12-31,0.245916924,0.247916924,0.085799071,81.76677549,88.33451226,79.6714931,81.52125165,80.25788503,80.66396463,79.53450666,77.84192763,43.76062582,39.46444208,2490972.0,495354.0,1.347064622,15.2,4.864092845,1.536081163,0.2905903,0.021265336769999997,0.6606575071999999,0.3058786752,14.72818355,0.198859722,2.15986782,0.60661174,0.0520327441593204,201612,1.81,0.14,3.47,0.03,0.012100713265500863,2016,0.0125644889296561,0.0005600854998139,0.0143000542981509,12,both,0.1336,0.0654,0.2281,0.002,both,0.9665361823999999,0.006977087698098104
JPM.N,2017-12-31,0.223383343,0.231383343,0.098152028,83.07976953,90.87151471,78.3867751,82.35306372,81.76677549,88.33451226,79.6714931,81.52125165,44.13705817,43.76062582,2533600.0,494798.0,1.595215926,15.7,4.749802032,1.21089798,0.2838487,0.021897463460000002,0.5856747691,0.3845027708,14.74515177,0.195294443,1.523200386,0.579143722,0.0533111284763972,201712,1.06,-1.32,0.05,0.09,0.013069331335196607,2017,0.014707275630213,0.005023157813153,0.0059334279424925,12,both,0.215,-0.0528,-0.13369999999999999,0.008,both,0.9701775399000001,0.010103542212050069
JPM.N,2018-12-31,-0.227840382,-0.209740382,-0.075206638,79.42625998,86.57218312,79.61549665,80.04651898,83.07976953,90.87151471,78.3867751,82.35306372,43.39404601,44.13705817,2622532.0,533627.0,1.387652252,16.0,5.749096791,1.141126993,0.2838487,0.027308517810000002,0.5592181156,0.4107138674,14.77965082,0.203477784,1.361575929,0.577758212,0.0560654294163817,201812,-9.55,-2.33,-1.94,0.19,0.017580268503875708,2018,0.0145357656060366,-0.0021814092368706,0.0104295916180161,12,both,-0.0682,-0.0323,-0.0962,0.0181,both,0.9699319829999999,0.016175793590366076
JPM.N,2019-12-31,0.161745784,0.183145784,0.077109945,89.75067727,83.67356347,84.684426,83.90768208,79.42625998,86.57218312,79.61549665,80.04651898,43.2164673,43.39404601,2687379.0,516093.0,1.834591094,16.6,4.696227415,1.223973573,0.26626740000000004,0.02017936387,0.5987430723,0.3726255634,14.80407693,0.192043251,1.60682232,0.561719126,0.0519697797343114,201912,2.77,0.76,1.73,0.14,0.017708837119079078,2019,0.0108446638712225,-0.0024756956458092,0.008636531679037,12,both,0.28350000000000003,-0.0621,-0.1036,0.021400000000000002,both,0.9713686357,0.0237334582251481
JPM.N,2020-12-31,-0.128975728,-0.124575728,-0.03496142,90.72326167,85.53549577,87.0453177,85.54538377,89.75067727,83.67356347,84.684426,83.90768208,51.78431979,43.2164673,3384757.0,542102.0,1.554374754,17.3,3.732272746,1.217916165,0.2107742,0.01306947606,0.6328385214,0.3330424226,15.03479267,0.160159799,1.900173907,0.487231507,0.0449120975253124,202012,4.63,5.01,-1.69,0.01,0.007764250316783439,2020,0.0115357511947717,0.0084679804361494,0.0096744307973468,12,both,0.2359,0.13449999999999998,-0.47,0.0044,both,0.965880944,0.003713244600755743
JPM.N,2021-12-31,0.321116288,0.321516288,0.144609133,92.41564734,80.5458233,85.70191403,82.86750878,90.72326167,85.53549577,87.0453177,85.54538377,44.8912012,51.78431979,3743567.0,548939.0,1.798016951,17.2,1.548870797,1.111852831,0.20336569999999998,0.01407785494,0.5379522759,0.43100786939999997,15.13554946,0.146635281,1.248126343,0.557515263,0.0525085305833948,202112,3.23,-1.62,3.24,0.01,0.008088048785221142,2021,0.0089908579303516,0.0046083175088411,0.0094032560812946,12,both,0.23870000000000002,-0.037200000000000004,0.2545,0.0004,both,0.9689601453000001,0.004767817049335514
JPM.N,2022-12-31,-0.01475927,-0.00055927,0.022397877,89.93750658,76.5931658,80.93472737,78.67279974,92.41564734,80.5458233,85.70191403,82.86750878,44.47658679,44.8912012,3665743.0,542505.0,1.485248713,16.4,6.028440795,1.118365688,0.1885095,0.044577474820000004,0.6244120952,0.339244106,15.1145416,0.14799319,1.840598213,0.448489391,0.0593228572877297,202212,-6.37,-0.76,1.35,0.33,0.027664248843295644,2022,0.0094874065381482,0.013479679114054,0.0144655540677456,12,both,-0.2132,-0.0702,0.2581,0.014199999999999999,both,0.9636562012,0.014964570957145353
JPM.N,2023-12-31,0.117533025,0.167033025,0.085678921,92.25661154,73.63736439,83.11535669,79.51238312,89.93750658,76.5931658,80.93472737,78.67279974,39.90589216,44.47658679,3875393.0,653072.0,1.628492405,17.7,5.73092469,1.111174567,0.18800429999999999,0.04397559661,0.5874498167,0.3873621158,15.17015763,0.168517619,1.516539157,0.497966737,0.0627274039891452,202312,4.85,6.29,4.89,0.43,0.040610432781465367,2023,0.0071910916565745,0.0085531288279542,0.0006221189147088,12,both,0.2175,-0.034,-0.1405,0.0495,both,0.9748119325,0.05068584834763793
BAC.N,2016-12-31,0.294272635,0.296272635,0.088169495,93.34922256,76.20075905,53.99551693,69.91846793,92.72934151,70.75346278,57.12465537,68.43271701,38.62590063,37.47722807,2188067.0,411058.0,0.921933918,14.3,4.762380718,1.598445255,0.3188739,0.023617668589999998,0.699379706,0.259621837,14.59852906,0.187863534,2.693840064,0.563856359,0.0480886945717796,201612,1.81,0.14,3.47,0.03,0.013957878458164813,2016,0.0196198309653922,0.0055480857143033,0.0238646809381436,12,both,0.1336,0.0654,0.2281,0.002,both,0.9590015430000001,0.01042758794468239
BAC.N,2017-12-31,0.284169935,0.292169935,0.114572893,94.32511457,91.14427914,48.57815996,75.38431681,93.34922256,76.20075905,53.99551693,69.91846793,41.9684742,38.62590063,2281234.0,436933.0,1.240411104,14.8,4.784765439,1.329092417,0.31375235,0.02049993302,0.6067678974999999,0.362928731,14.64022708,0.191533617,1.67186515,0.618955918,0.0531894991368149,201712,1.06,-1.32,0.05,0.09,0.012847917445765786,2017,0.0212670152808267,0.0018693802917748,0.0044345043855782,12,both,0.215,-0.0528,-0.13369999999999999,0.008,both,0.9696966284999999,0.011880811769620227
