Date,ABCB.N,ACNB.OQ,AROW.OQ,ASB.N,ATLO.OQ,AUBN.OQ,BAC.N,BANC.N,BANF.OQ,BANR.OQ,BCBP.OQ,BFIN.OQ,BHB.A,BHLB.N,BKU.N,BMRC.OQ,BOH.N,BOKF.OQ,BRKL.OQ,BSRR.OQ,BUSE.OQ,BWFG.OQ,CAC.OQ,CADE.N,CATY.OQ,CBAN.N,CBFV.OQ,CBSH.OQ,CBU.N,CCBG.OQ,CCNE.OQ,CFFI.OQ,CFG.N,CFR.N,CHCO.OQ,CHMG.OQ,CIVB.OQ,CMA.N,CNOB.OQ,COLB.OQ,CPF.N,CTBI.OQ,CUBI.N,CVBF.OQ,CZNC.OQ,DCOM.OQ,DFS.N^E25,EBMT.OQ,EBTC.OQ^G25,EFSC.OQ,EGBN.OQ,EVBN.K^E25,EWBC.OQ,FBIZ.OQ,FBNC.OQ,FCAP.OQ,FCBC.OQ,FCCO.OQ,FCF.N,FCNCA.OQ,FFBC.OQ,FFIC.OQ,FFIN.OQ,FGBI.OQ,FHN.N,FISI.OQ,FITB.OQ,FLG.N,FLIC.O^F25,FMBH.O,FMNB.OQ,FNB.N,FNLC.OQ,FNWB.OQ,FRBA.OQ,FRBKQ.PK,FRCB.PK,FRME.OQ,FRST.OQ,FSBW.OQ,FULT.OQ,FUNC.OQ,GABC.OQ,GBCI.N,GSBC.OQ,HAFC.OQ,HBAN.OQ,HBCP.OQ,HBNC.OQ,HFWA.OQ,HIFS.OQ,HMST.OQ,HOMB.N,HOPE.OQ,HTBK.OQ,HTH.N,HWBK.OQ,HWC.OQ,IBCP.OQ,IBOC.OQ,INBK.OQ,INDB.OQ,ISTR.OQ,JPM.N,KEY.N,LARK.OQ,LCNB.OQ,LKFN.OQ,MBWM.OQ,MFIN.OQ,MOFG.OQ,MPB.OQ,MTB.N,NBHC.N,NBTB.OQ,NFBK.OQ,NKSH.OQ,NRIM.OQ,NWBI.OQ,NWFL.OQ,OCFC.OQ,ONB.OQ,OPOF.OQ,ORRF.OQ,OSBC.OQ,OVBC.OQ,OVLY.OQ,OZK.OQ,PB.N,PEBK.OQ,PEBO.OQ,PFBC.OQ,PFIS.OQ,PFS.N,PGC.OQ,PKBK.OQ,PLBC.OQ,PNC.N,PNFP.OQ,PPBI.OQ,PRK.A,PVBC.OQ,PWOD.OQ,QCRH.OQ,RBCAA.OQ,RF.N,SBCF.OQ,SBFG.OQ,SBNY.PK,SBSI.N,SFNC.OQ,SFST.OQ,SHBI.O,SNV.N,SRCE.OQ,STBA.OQ,SYBT.OQ,TBBK.OQ,TCBI.OQ,TCBK.OQ,TFC.N,TFIN.OQ,THFF.OQ,TMP.A,TOWN.OQ,TRMK.OQ,TRST.OQ,UBFO.OQ,UBSI.OQ,UCB.N,UMBF.OQ,UNB.OQ,UNTY.OQ,USB.N,UVSP.OQ,VBTX.OQ,VLY.OQ,WABC.OQ,WAL.N,WASH.OQ,WBS.N,WFC.N,WNEB.OQ,WSBC.OQ,WSBF.OQ,WSFS.OQ,WTBA.OQ,WTFC.OQ,ZION.OQ
11/30/15,34.19,21.534915,22.47452,20.51,25.120023,27.8,17.43,15.02,32.235,50.256844,11.18,12.85,23.273345,30.24,37.8,27.465,69.19,68.85,11.74,17.84,21.99,19.7,29.960015,26.9,34.32,9.64,21.83,29.600455,43.13,15.75,18.69,38.99,26.63,69.79,49.92,27.9,10.77,46.35,19.51,34.07534,23.24,36.7,31,18.5,20.449461,31.88,56.76,11.79,24.49,29.3,54.63,24.48,43.38,25.92,19.49,25.26,19.124391,13.53,9.84,264.92,20.15,22.77,17.955,13.865179,14.87,27.27,20.67,49.2,20.92001,22.233916,8.41,14.52,22.107076,14.02,7.06,4.61,68.86,27.2,12.35,12.925759,14.201673,10.13,22.986678,28.070456,49.315612,26.1,11.69,26.4,12.235568,19.126462,127.785363,21.67,22.56,18.91,10.8,22.31,11.274507,29.12,15.51,30.51,32.25,51.74,17.7,66.68,13.11,16.67604,16.55,32.093349,24.856353,7.96,31.75,16.140443,125.33,22.7,30.13,15.93,35.065571,29.43,13.94,19.166676,19.76,14.75,18.19,17.77,7.75,25.201117,10.1,54.28,55.41,16.85305,20.62,36.42,39.91,20.617888,22.78,8.756236,8.71,95.51,54.33,23.43,95.544614,6.22403,29.740015,24.2,26.82,10.14,16.05,10.638096,158.15,26.027334,28.83,22.04,10.61,33.38,33.81,33.92,26.84668,7.68,59.28,29.3,38.587984,17.43,35.169672,62.56,22.45,25.25,32.8,4.945737,42.12,20.88,52.7,27.6,9.427274,43.89,20.88,17.21,11.14,49,38.79,40.86,40.21,55.1,8.04,33.92,11.562468,34.16,20.73,52.63,29.96
12/31/15,33.99,21.654831,21.448287,18.75,24.079139,29.62,16.83,14.62,29.31,43.90055,10.4,12.63,22.946678,29.11,36.06,26.7,62.9,59.79,11.5,17.65,20.63,19.85,29.393348,23.99,31.33,9.71,22.9,27.421676,39.94,15.35,18.03,39,26.19,60,45.64,27.66,12.83,41.83,18.69,31.170211,22.02,34.96,27.22,16.92,20.917617,30.43,53.62,12.36,22.85,28.35,50.47,25.72,41.56,25.01,18.74,25.97,17.465069,14.92,9.07,258.17,18.07,21.64,15.085,14.913603,14.52,28,20.1,48.96,20.00001,25.624195,8.6,13.34,20.393504,14.15,6.61,4.33,66.06,25.42,13.06,12.846032,12.768746,11.6,22.213344,25.347488,43.885659,23.72,11.06,25.98,12.426679,18.403603,117.587268,21.71,20.26,17.22,11.96,19.22,11.479099,25.17,15.23,25.7,28.69,46.52,17.6,66.03,13.19,16.933884,16.36,31.080016,23.578466,7.04,30.41,15.749159,121.18,21.37,27.88,15.92,34.69461,26.6,13.39,19.14001,20.03,13.56,17.16,17.98,7.84,24.489277,10.34,49.46,47.86,17.029429,18.84,33.02,38.08,19.897052,20.62,8.524011,8.68,95.31,51.36,21.25,89.113253,6.520884,28.306681,24.29,26.41,9.6,14.98,10.609524,153.37,22.13798,25.68,22.6,10.88,32.38,30.87,30.82,25.193346,6.37,49.42,27.44,37.778656,16.5,32.678167,56.16,20.87,23.04,30.7,5.080827,36.99,19.49,46.55,27.91,11.363638,42.67,20.86,16.21,9.85,46.75,35.86,39.52,37.19,54.36,8.4,30.02,11.771177,32.36,19.75,48.52,27.3
1/31/16,28.93,21.514929,21.72458,17.55,24.763149,27.18,14.14,15.1,27.97,39.726839,10.47,12.27,23.133345,27.78,33.7,26.99,59.93,50.01,11.16,18.2,18.43,19.5,27.980014,20.88,28,9.31,19.99,26.512777,37.64,14.15,18.19,38.25,21.25,47.86,44.46,27.16,11.28,34.3,16.63,28.408901,20.95,34.84,25.1,15.31,20.070952,29.11,45.79,11.87,23.69,28.39,47.24,24.95,32.42,22.96,18.75,24.23,17.390071,13.41,8.73,246.06,16,22,13.06,12.396698,12.73,27.45,15.8,46.44,19.353343,25.870581,8.23,12.05,19.038586,12.95,6.4,4.12,68,22.86,13.09,12.332789,12.611713,9.68,21.213344,22.815188,38.465402,21.7,8.58,25.51,11.4089,17.690512,121.04058,20.48,19.355,15.2,9.81,15.97,11.164903,23.96,15.14,23.19,26.8,45.71,15.58,59.5,11.16,16.076554,16.35,29.193348,21.474275,6.68,28.15,15.211145,110.18,19.69,25.9,15.48,33.767208,23.11,12.57,18.506676,17.72,12.32,18.6,17.35,7.11,22.96673,9.36,44.34,42.4,16.897144,17.16,32.5,37,19.393454,21.56,8.687935,8.8,86.65,49.85,20.53,86.779053,6.382352,26.22668,22.96,26.71,8.12,14.82,10.085715,139.34,20.764725,22.155,22.65,11.42,30.53,30.22,27.01,26.053346,4.5,35.7,25.51,32.632925,14.13,31.793153,56.02,19.07,21.64,27.5,4.957136,33.58,18.06,46.9,27.14,10.481819,40.06,19.68,14.42,8.8,43.67,32.58,39.46,33.17,50.23,7.98,29.02,11.562468,29.06,18,42.09,22.68
2/29/16,26.99,21.594873,20.658876,17.2,23.206778,26,12.52,15.33,28.25,38.01332,9.83,12.04,22.060011,25.82,32.12,24.68,63.5,48.87,10.51,18.77,18.95,19.58,25.873346,19.92,26.69,8.52,19.77,27.382999,37.03,14.4,17.73,40.13,19.23,47.93,44.07,27.03,9.8,33.78,15.42,27.839671,19.93,33.72,22.65,15.53,19.821932,28.41,46.42,11.2,22.73,27.73,45.84,24.5,29.97,21.11,18.49,25.57,16.96821,13.25,8.59,234.13,16.77,20.65,13.205,11.645383,12.02,26.52,15.26,45.39,18.560009,23.899489,8.5,12.28,18.78952,12.58,6.57,4.03,61.54,22.19,12.62,12.153403,12.376164,10.36,21.286677,23.037634,36.429169,20.83,8.75,24.85,10.755566,17.036031,115.569597,19.97,19.76,14.31,9.33,16.68,10.777639,23.07,14.73,22.55,26.12,43.2,14.37,56.3,10.55,15.792926,16,28.473348,21.685655,8.08,26.06,14.669399,102.55,19.34,25.8,15.71,32.468844,24.18,12.59,17.740009,16.99,11.16,18.04,17.59,6.69,22.245003,9.45,37.84,40.45,16.385644,17.84,28.55,36.22,18.356635,16.58,8.305447,8.52,81.31,46.37,20.55,83.903161,6.372457,25.80668,22.42,25.61,7.52,14.82,9.676191,129.55,21.584992,20.595,22.52,11.27,26.59,30.45,25.22,24.900012,4.77,32.33,24.8,32.133339,13.67,31.696956,56.47,17.43,21.88,28.85,4.586064,35.04,17.31,49.11,28.24,9.254546,38.52,19.09,12.99,9,44.99,29.72,37.1,33.61,46.92,8.36,28.27,11.787873,30.3,17.56,42.5,21.32
3/31/16,29.58,22.364334,20.97464,17.94,24.545058,28.25,13.52,17.5,28.515,40.243766,10.01,11.82,22.146678,26.89,34.44,24.61,68.28,54.62,11.01,18.15,20.48,19.57,28.000014,21.31,28.33,9.19,19.85,28.975184,38.21,14.59,17.59,38.2,20.95,55.11,47.78,26.35,10.31,37.87,16.35,28.892229,21.77,35.32,23.63,17.45,19.802011,30.47,50.92,12.15,26.24,27.04,48,24.4,32.48,22.93,18.85,27.5,18.599408,14.42,8.86,251.07,18.18,21.62,14.79,11.645383,13.1,29.07,16.69,47.7,19.00001,23.761513,8.91,13.01,19.437091,12.87,6.94,4.21,66.64,23.57,11.92,12.552038,13.131885,10.95,21.466677,24.585082,36.00253,22.02,9.54,26.81,10.986678,17.16302,117.20302,20.81,20.475,15.19,10.01,18.88,10.777639,22.96,14.55,24.66,23.37,45.96,14.67,59.22,11.04,16.121676,16.07,30.520015,21.541532,9.23,27.45,14.52172,111,20.39,26.95,16.44,33.50363,23.91,13.51,18.240009,17.68,12.19,18.6,17.32,7.17,21.503503,9.27,41.97,46.39,16.403282,19.54,30.25,37.2,19.93655,16.9,9.049932,8.81,84.57,49.06,21.37,88.640503,6.545622,25.693346,23.85,25.83,7.85,15.79,9.819048,136.12,24.027358,22.535,24.41,11.98,28.91,31.84,25.76,25.68668,5.72,38.38,25.32,33.242419,15.83,32.90904,64,19.19,23.03,30.3,4.756853,36.7,18.47,51.63,28.57,10.336365,40.59,19.51,14.53,9.54,48.71,33.38,37.32,35.9,48.36,8.43,29.71,11.420546,32.52,18.23,44.34,24.21
4/30/16,31.4,22.054551,22.229803,18.24,25.566117,27.5,14.56,20.35,31.185,40.952149,10.12,12.36,23.133345,27.14,34.5,24.51,68.41,60.18,11.38,17.61,20.44,20.7,29.006681,23.49,30.52,9.69,22.04,30.180603,39.57,14.82,17.89,38.99,22.85,63.99,49.12,26.61,11.51,44.4,17.21,28.476999,23.34,35.87,25.98,17.18,20.110795,30.44,56.27,13.44,24.13,27.37,50.7,24.4,37.49,25.31,20.4,28.99,19.508754,14.53,9.18,255,19.5,19.95,16.19,12.066119,14.08,28,18.31,45.09,20.406677,24.520383,9.3,13.22,19.775821,13,7.19,4.65,70.32,25.65,12.3,12.6218,13.730574,11.23,21.486677,25.039645,36.710363,23.12,10.06,27.92,10.844455,18.022636,125.940849,21.55,21.495,15.62,10.44,19.86,10.960311,25.97,15.15,26.19,24.8,47.03,15.19,63.2,12.29,16.553564,17.1,31.526682,23.174922,7.7,28.36,15.309339,118.32,19.99,28.34,15.86,35.133906,25.8,14.02,19.146676,19.48,13.4,19.3,17.78,7.16,21.651803,9.54,41.3,52.77,17.029429,21.49,31.76,39.42,19.729186,19.14,9.555362,9.5,87.78,49.17,23.26,90.413314,6.797947,27.746681,25.77,27.31,9.38,16.22,10.161905,137.83,26.921332,23.35,25.5,11.74,31.16,34.44,25.67,26.960013,5.67,45.82,26.92,35.35067,15.89,34.082645,65.34,21,24.51,32.05,5.170074,38.69,20.13,55.75,29,10.69091,42.69,19.74,15.49,9.46,48.72,36.58,36.63,36.64,49.98,7.66,32.13,11.70439,34.14,18.65,52.02,27.52
5/31/16,31.83,24.073137,22.940273,18.69,24.941586,29.79,14.79,20.06,31.36,42.589086,10.48,12.71,22.460011,27.48,33.1,25.415,71.85,63.74,11.63,17.27,22.19,21.51,28.680014,23.89,30.82,9.51,22,31.540728,41.24,15.5,17.85,43.9,23.55,66.9,49.16,31.76,11.62,47.1,15.84,29.610295,23.97,36.08,26.89,17.55,20.200442,29.97,56.81,12.58,23.27,28.6,51.49,24.25,38.6,24.73,19.73,31.55,20.493098,14.49,9.39,259.06,19.77,20.86,16.755,12.126225,14.56,27.96,18.87,47.22,20.06001,25.239832,9.46,13.39,20.074699,13.14,6.99,4.27,72.41,25.91,11.91,12.208215,13.985752,10.34,21.460011,26.44202,38.038762,24.34,10.45,27.73,10.977789,17.837037,131.746389,20.56,21.975,16.26,10.76,20.44,10.631502,27.49,14.84,28.04,25.59,49.29,15.4,65.27,12.82,16.179691,16.77,32.71335,23.482384,7.7,29.11,15.653922,119.5,21.25,29.16,15.55,32.556704,26.55,14.81,18.833343,18.645,13.16,19.5,18.845,7.23,22.027496,9.75,38.91,53.85,17.179351,21.59,32.92,36.87,20.163663,19.01,9.872279,9.37,89.74,49.18,25,92.520988,6.931532,28.226681,27.29,27.73,9.83,16.84,10.419048,135,28.538362,23.74,25.6,11.02,32.17,33.89,25.87,29.03,6.75,51.24,28.16,36.339849,16.06,35.535221,66.54,21.85,24.78,32.85,5.189294,39.81,20.13,57.55,33.625,10.727274,42.82,20.19,15.57,9.53,48.65,37.7,38.32,39.16,50.72,7.71,32.66,12.088414,35.47,18.82,53.27,28.02
6/30/16,29.7,25.092423,23.911248,17.15,26.587176,28.49,13.27,18.1,30.16,40.722403,10.24,11.99,23.400012,26.92,30.72,24.185,68.8,62.7,11.03,16.69,21.39,22.06,28.000014,22.69,28.2,9.51,21.3,30.876781,41.09,13.92,17.8,44.76,19.98,63.73,45.47,29.35,13.1,41.13,15.69,27.268293,23.6,34.66,25.13,16.39,20.140677,28.4,53.59,12.71,23.99,27.89,48.11,24.64,34.18,23.47,17.58,33.01,21.03683,13.99,9.2,258.91,19.45,19.88,16.395,12.02104,13.78,26.07,17.59,44.97,19.113343,24.638649,8.8,12.54,21.459505,12.74,6.94,4.31,69.99,24.93,12.15,12.631766,13.24966,9.84,21.313344,25.706982,35.847388,23.49,8.94,27.47,11.173345,17.172789,120.952021,19.92,19.79,14.92,10.53,20.99,10.479231,26.11,14.51,26.09,23.82,45.7,15.38,62.14,11.05,16.327951,15.8,31.340016,22.92511,7.38,28.56,15.663767,118.23,20.36,28.63,14.83,34.089358,26.29,14.83,18.666676,18.17,12.53,19.18,18.05,6.83,21.612256,9.75,37.52,50.99,17.293998,21.79,28.875,39.14,19.393454,18.51,9.70699,9.01,81.39,48.85,24,90.393616,7.629138,27.993347,27.19,27.63,8.51,16.24,10.352381,124.92,29.922216,23.0925,24.1,11.75,28.99,32.39,24.45,28.23,6.02,46.76,27.6,35.580479,16,35.227391,65,21.65,24.85,32.05,6.169494,37.51,18.29,53.21,36.36,11.554547,40.33,21.02,16.02,9.12,49.26,32.65,37.92,33.95,47.33,7.7,31.05,12.798024,32.19,18.59,51,25.13
7/31/16,33.16,25.831905,24.937482,18.6,26.914311,28.12,14.49,22.18,32.785,39.956584,10.57,12.2,24.453346,26.37,30.02,24.79,68.92,65.23,11.39,17.88,22.53,22.01,28.986681,23.82,29.98,9.64,21.72,30.483569,44.13,14.31,18.45,45.69,22.33,67.89,46.7,31.64,13.78,45.24,16.91,29.464527,24.53,34.78,25.74,16.45,21.226401,29.11,56.84,13.37,23.67,28.76,51.55,25.49,34.22,23.71,18.72,31.91,21.496191,14.75,9.65,259.78,21.31,22.31,17.085,11.893317,14.56,26.9,18.98,43.35,20.233343,24.825902,9.55,11.95,21.967599,13.08,7.31,4.39,71.67,26.2,13.33,13.409105,13.396878,10,22.666678,26.674137,38.009673,24.52,9.5,28.94,12.231123,17.055568,128.902658,22.3,20.87,15.37,10.48,21.78,10.58562,28.99,15.38,27.42,23.65,50.21,15.05,63.97,11.7,16.598687,17.74,34.23335,24.193389,8.09,28.95,16.293862,114.56,20.03,29.82,14.93,33.981975,28.4,14.91,18.680009,18.86,13.16,19.01,19.34,7.55,21.523276,9.9,35.99,51.09,18.061248,22.45,32.67,39.47,19.897052,20.07,10.157779,9.92,82.65,53.11,24.15,88.167754,7.881463,28.233347,29.64,29.81,9.17,15.97,10.676191,120.24,29.602865,22.975,27.06,11.76,30.44,33.61,25.49,29.54,5.3,48.54,26.02,36.839435,17.47,36.843502,72.74,22.95,26.1,33.15,5.842953,38.3,19.24,55.41,34.86,11.472728,42.17,21.09,17.37,9.07,47.04,34.03,37.96,35.96,47.97,7.87,30.92,13.090216,35.19,19,52.8,27.88
8/31/16,34.82,27.18096,25.592692,19.84,26.983703,28.51,16.14,22.32,34.3,42.388058,10.94,12.34,24.533346,27.89,32.15,24.36,72.04,69.07,11.94,18.23,23.35,22.43,30.826682,24.9,31.42,9.8,22.5,32.668795,47.45,13.99,20.15,42.51,24.77,72.9,50.59,29.38,14.4,47.29,17.79,32.300455,25.59,36.86,26.74,17.79,21.535185,29.81,60,14.06,24.83,30.8,51.76,27.65,37.14,22.78,20.05,30.51,22.47116,15.09,10.21,284.91,21.8,23.19,18.31,12.013527,15.38,26.88,20.16,45.33,21.866678,24.768567,9.97,12.49,22.42588,13.16,8.22,4.1,76.96,27.15,12.42,13.957229,14.191858,10.46,24.573346,28.956623,40.811917,26.23,10.01,28.84,12.448901,18.051942,127.83995,26.06,23.4,17.2,11.49,22.64,10.707206,32.63,16.31,29.65,23.85,52.98,15.2,67.5,12.56,16.817854,17.59,35.84,25.749914,4.73,29.82,18.499195,118.33,23.94,32.29,15.89,35.026522,25.7,15.52,19.20001,19.82,14.16,19.75,20.39,8.16,21.57271,10.09,39.18,55.47,18.555111,23.77,35.05,38.44,21.299227,19.98,10.601055,9.98,90.1,56.69,26.99,94.205157,7.812197,29.453348,31.22,32.01,9.97,16.45,11.904763,122.01,31.789935,25.095,28.34,11.63,33.08,35.39,28.75,31.91,6.19,52.52,27.04,38.468084,19.12,39.325389,73.93,23.79,28.36,35.7,6.066188,39.4,20.98,60.8,34.05,11.809092,44.15,23.34,17.15,9.65,50.84,38.22,42.15,38.63,50.8,7.57,32.73,14.108715,38.9,19.63,55.58,30.59
