Bank,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23,10/31/23,11/30/23,12/31/23
ABCB.N,-0.148867314,-0.067058417,0.095961467,0.061528059,0.013694268,-0.066918002,0.116498316,0.050060314,0.003733487,0.038626609,0.23553719,-0.02787068,0.03440367,0.070953437,-0.045548654,0.021691974,-0.079617834,0.111880046,-0.049792531,-0.038209607,0.089670829,-0.002083333,0.035490605,-0.028225806,0.110995851,-0.007469655,-0.004703669,-0.02268431,0.077369439,-0.042190305,-0.126522962,0.065450644,-0.079556898,-0.061487965,-0.001398927,-0.260565025,0.198294916,0.0743083,-0.157468727,0.061426492,-0.032089962,0.110512893,0.014799694,-0.115162183,0.143506678,0.064860835,0.018669778,-0.025429553,-0.055242125,-0.149539686,-0.304856641,0.070286195,-0.04718836,-0.026413537,-0.021831284,0.062621885,-0.07096248,0.286215979,0.160750853,0.119376654,0.027318098,0.218102787,0.102225021,0.030089507,0.01571455,-0.078449217,-0.039897294,0.012960296,0.053614947,0.009830378,-0.071005917,0.020752003,-0.007447665,0.003853174,-0.113535354,-0.049680948,0.093285372,-0.118666374,0.176953708,-0.012899133,-0.042202228,0.152091255,0.026596777,-0.108547655,0.000424268,0.015055131,-0.235847086,-0.084199016,-0.057910448,0.083967047,0.275942707,-0.066437572,-0.05791411,-0.028392811,0.14155496,0.245890089
ACNB.OQ,-0.006460545,0.003715745,0.035631652,-0.013851653,0.09152696,0.04234122,0.029470331,0.052224371,-0.022794118,0.012039127,0.156133829,0.004823151,-0.04,-0.033333333,-0.005172414,0.072790295,-0.08723748,0.079646018,-0.067213115,-0.080843585,0.059273423,0.007220217,0.039426523,0.018965517,0.023688663,-0.074380165,0.044642857,0.025641026,0.05,0.080952381,0.007342144,0.043731778,0.039106145,0.077956989,-0.1,0.087558881,-0.072611465,0.082417582,-0.060913706,0.023513514,-0.057301294,0.108403361,-0.057366692,-0.097050938,0.018408551,0.031778426,-0.004803617,0.073821692,-0.152564781,-0.048985959,-0.015748031,-0.068,-0.111587983,0.05394525,-0.213139801,0.02038835,-0.010466223,0.003365385,0.1935793,0.003613007,0.002,0.102195609,0.061209707,-0.061433447,0.048006332,-0.030902778,0.000716589,0.03150734,-0.028115238,-0.008928571,0.046486486,0.077134986,0.035485934,-0.006483483,0.08607831,-0.020600858,0.008179959,-0.139669661,0.107780397,0.08117969,-0.155230596,0.21804261,0.074063952,0.012977099,-0.011554886,-0.058703939,-0.121220302,-0.068202765,-0.029014177,0.126315789,0.046126017,-0.082708934,-0.006911719,0.088579563,0.135716362,0.145342886
AROW.OQ,0.012881821,-0.049055218,0.015284665,0.059841933,0.031960247,0.042326218,0.042918462,0.026274104,0.043025681,-0.037465729,0.197784822,0.070013216,-0.12839505,-0.011331476,-0.028653269,0.010324467,-0.075912403,0,0.030015793,-0.00920246,0.09537128,0.027656474,0.042492917,-0.077445644,-0.033873337,-0.016768294,0.052713174,0.042709875,0.056497184,-0.026737988,0.063186835,0.01679585,-0.031512288,-0.050270267,-0.010529324,-0.079091146,-0.005309194,0.112087921,-0.071428583,0.023107349,-0.043982189,0.079577249,-0.042326509,-0.03307277,0.069393435,0.051811921,0.021070615,0.054099262,-0.072486783,-0.096691363,-0.119987377,0.022604938,0.026315795,0.01641025,-0.081735605,0.049450525,-0.097986241,0.090872887,0.087321884,0.00504031,-0.017051133,0.083673469,0.045511603,0.061242862,0.049504952,-0.030997316,0.002781665,0.022191376,-0.039598562,0.043364361,-0.037656903,0.021159411,0.004257752,-0.029112486,-0.05618632,-0.03454658,0.058466444,-0.039843038,0.054699793,-0.042921022,-0.075534296,0.208188755,0.010051697,-0.036110321,-0.029203562,-0.073837714,-0.182742807,-0.133279781,-0.15516443,0.104166631,-0.000993024,-0.124751504,-0.004509013,0.252056404,0.156733928,0.13346856
ASB.N,-0.064,-0.01994302,0.043023256,0.016722408,0.024671053,-0.082397004,0.084548105,0.066666667,-0.012600806,0.036242981,0.125615764,0.080962801,0.024291498,0.017786561,-0.052427184,0.020491803,-0.042168675,0.056603774,-0.049603175,-0.08559499,0.107305936,0.043298969,0.007905138,-0.003921569,-0.025590551,-0.002020202,0.006072874,0.064386318,0.043478261,-0.010869565,-0.010989011,0.009259259,-0.04587156,-0.108461538,-0.000431406,-0.145878291,0.093986862,0.075288684,-0.08290378,0.062763466,-0.126928162,0.067137809,0.025070956,-0.112136594,0.052494802,-0.00691358,0.066136251,0.027985075,-0.095735027,-0.150526844,-0.244536326,0.105551212,-0.009193777,-0.023554604,-0.061403509,0.046728972,-0.061011905,0.084786054,0.119065011,0.112924282,0.052199413,0.123188406,0.059057072,0.025773196,0.050251256,-0.109177903,-0.033203125,0.041414141,0.038797284,0.040149393,-0.017055655,0.031506849,0.057990261,0.020502092,-0.066830668,-0.123462214,0.037593985,-0.117874396,0.100766703,-0.002985075,0.001996008,0.212649402,0.01026694,-0.061382114,-0.029449978,0.033020973,-0.223326134,-0.008342603,-0.169377454,0.095881161,0.167590881,-0.085488127,-0.012694749,-0.052600818,0.094386181,0.205749718
ATLO.OQ,0.028406747,-0.062850286,0.057667635,0.041599372,-0.024428074,0.065977761,0.01230424,0.002578257,0.016164609,-0.020245855,0.108856086,0.098169715,-0.021212112,-0.003095978,-0.049689459,0.009803932,-0.040453083,0.032040471,-0.032679739,-0.084459444,0.101476005,-0.001675044,0.00838927,-0.073211321,0.012567338,-0.058510661,0.035781581,0.014259312,0.09403255,0.019834711,0.019448947,-0.038155803,-0.099173554,0.008807339,-0.001091306,-0.074289876,-0.011014949,0.107000796,-0.015091628,0.03064575,-0.069026549,0.030418251,0.007749077,-0.030757964,0.080846241,-0.03180706,0.017689531,-0.004611564,-0.049180328,-0.03035982,-0.209509084,0.036674817,-0.051886792,-0.017910448,-0.062816616,0.078378378,-0.153383459,0.142687981,0.114507772,0.116689912,-0.06286428,0.015548645,0.118985127,-0.011727912,0.000791139,-0.031225296,-0.0375357,-0.007630352,-0.006407518,0.062768702,-0.008899676,-0.000408163,-0.006533279,-0.015207563,0.037562604,-0.058728882,-0.026495726,-0.026338894,0.000901713,-0.015315315,0.014638609,-0.00270514,0.035262206,0.031004367,0.020330368,0.00539643,-0.141205615,-0.074038462,-0.048805815,-0.015829694,0.068219634,-0.068016615,-0.075766017,0.019891501,0.092198582,0.154761905
AUBN.OQ,-0.082376772,-0.043414275,0.086538462,-0.026548673,0.083272727,-0.043638805,-0.012987013,0.013869132,-0.037179937,0.010928962,0.027027027,0.098596491,0.049185564,-0.005783866,0.012247397,0.019056261,0.043633126,0.063424346,-0.010163145,-0.034044853,-0.020979021,-0.012857143,0.023444284,0.112556561,-0.044229792,-0.040425532,0.060421286,0.053319394,0.062034739,0.15911215,-0.022576094,-0.04310167,-0.174137931,0.051148225,-0.054369414,-0.168810711,0.028427037,0.035626536,0.169335706,-0.092822724,-0.039138943,-0.025312773,0.154626866,0.046535677,0.161067194,-0.091489362,0.006791569,0.232844848,0.075471698,-0.021929825,-0.296681614,0.101249681,0.246873553,0.060364042,-0.203012787,-0.103736264,-0.110838646,0.024820739,0.126480086,-0.004061156,-0.051810986,-0.010877814,-0.018670077,-0.074798019,0.076056338,-0.071727749,-0.046249295,0.0156712,-0.010189229,-0.005294118,0.005322295,-0.067647059,0.064353312,-0.055423829,0.035770317,-0.07482581,-0.025867714,-0.091092437,-0.00147929,0.012222222,-0.157702159,0.020851434,-0.040851064,0.028172138,0.031283711,0.008786611,-0.06014102,-0.026919682,-0.002267574,-0.025454545,0.035447761,-0.008558559,-0.018627896,-0.027777778,0.034761905,-0.020708698
BAC.N,-0.15983363,-0.1145686,0.079872204,0.076923077,0.015796703,-0.102772143,0.091936699,0.113871636,-0.030359356,0.054313099,0.28,0.046401515,0.024434389,0.090106007,-0.044165316,-0.010597711,-0.039845758,0.082552432,-0.005770816,-0.009535655,0.060694851,0.080899763,0.028477547,0.047923323,0.08401084,0.003125,-0.065732087,-0.002334111,-0.029411765,-0.029269972,0.095423909,0.001619171,-0.047526673,-0.066530889,0.032727273,-0.132394366,0.155438312,0.021426063,-0.051237964,0.108372599,-0.130150425,0.090225564,0.057931034,-0.103324641,0.060341694,0.071991772,0.065558043,0.057022809,-0.067859171,-0.131891563,-0.255087719,0.1328309,0.002910603,-0.015339967,0.047578947,0.034565916,-0.064102564,-0.01618929,0.188185654,0.076349432,-0.021774992,0.170657673,0.114664362,0.047557508,0.045891932,-0.027364945,-0.069609508,0.088373306,0.016766467,0.125559482,-0.069275848,0.000449741,0.037086986,-0.042045947,-0.067420814,-0.134400776,0.042600897,-0.163172043,0.086090588,-0.00591541,-0.101457899,0.193377483,0.050221976,-0.124966975,0.071256039,-0.033258174,-0.166180758,0.023776224,-0.050887978,0.03238575,0.115371209,-0.1040625,-0.044994768,-0.03798393,0.157555049,0.104296491
BANC.N,0.032831737,0.015231788,0.141552511,0.162857143,-0.014250614,-0.097706879,0.225414365,0.006311993,-0.217741935,-0.238258877,0.135338346,0.149006623,-0.089337176,0.231012658,0.064267352,0.048309179,-0.064516129,0.0591133,-0.044186047,-0.097323601,0.118598383,0.014457831,0.071258907,-0.084257206,-0.046004843,0.012690355,-0.032581454,-0.005181347,0.010416667,0.007731959,0.023017903,0.0075,-0.062034739,-0.156084656,0.078369906,-0.226162791,0.09541698,0.187928669,-0.200923788,0.048410405,-0.088215024,0.055933485,0.118826056,-0.067818298,-0.029512697,-0.026166902,0.11546841,0.118489583,-0.071012806,-0.039473684,-0.478147423,0.3025,0.050863724,-0.010958904,-0.010156971,0.025186567,-0.079162875,0.185770751,0.108333333,0.106015038,0.145479266,0.10148368,-0.025862069,-0.009955752,-0.021787709,0.001713307,-0.023945268,0.049649533,0.028937117,0.09951325,-0.03639941,0.001531394,-0.01529052,0.017080745,-0.01475827,-0.068181818,0.066518847,-0.084199584,-0.006242906,-0.03597944,-0.053909953,0.044458359,0.017386091,-0.06128462,0.093534212,0.007462687,-0.286039886,-0.094173982,-0.05814978,0.083255379,0.227115717,-0.118226601,-0.011971269,-0.09450727,0.031222123,0.161764706
BANF.OQ,-0.045718185,0.010010726,0.009380531,0.093634929,0.005611672,-0.038265306,0.087035809,0.046210157,0.056997085,-0.011170873,0.142956764,0.135448444,0.013970983,0.010598834,-0.05715784,0.068409344,-0.016657991,0.022763367,0.105072464,-0.055737705,0.125992063,-0.037004405,0.039341263,-0.099471831,0.089931574,-0.044843049,-0.002816901,0.076271186,0.045494313,-0.009205021,0.048986486,0.027375201,-0.060344828,-0.042869058,-0.027187173,-0.106055177,0.075751503,0.050298063,-0.075026605,0.081495686,-0.07393617,0.06567107,0.048149479,-0.078333905,0.030686256,0.044568748,0.020728969,0.05669318,-0.074311339,-0.112456747,-0.349512671,0.154030566,-0.01012724,0.064270724,0.073699778,0.01010101,-0.071818182,0.088393732,0.220022497,0.082426701,-0.018228279,0.10845046,0.106606137,-0.016692601,-0.007768666,-0.094823836,-0.111324684,0.019466474,0.062942008,0.081337325,-0.021227503,0.108910891,0.062216553,0.042428286,0.065019839,-0.017545968,0.109847095,0.05488813,0.122035315,0.004376571,-0.170498795,0.070973511,0.063869756,-0.134981362,-0.023247902,0.047834669,-0.079224377,-0.038628159,0.058580548,0.087856214,0.085869565,-0.043243243,-0.092592593,-0.064798801,0.068055727,0.123513794
BANR.OQ,-0.095071952,-0.043132528,0.05867538,0.017602304,0.039971944,-0.043830079,-0.01880584,0.0608529,-0.012195109,0.032007304,0.154851578,0.07059276,0.005554547,0.035637929,-0.042670344,-0.007907976,-0.027355081,0.052523758,0.040393537,-0.045871564,0.111756175,-0.064621404,0.004710396,-0.042889401,-0.014150931,0.017298478,0.003798843,0.034420619,0.044425089,0.003002513,0.055717915,0.021597585,-0.033576881,-0.069969441,0.037703226,-0.108666662,0.019820497,0.13916391,-0.12811847,-0.021229461,-0.04828367,0.073127237,0.094367507,-0.090280123,0.041921709,-0.038988772,0.012041495,0.035877715,-0.0724719,-0.114645975,-0.27607362,0.163135593,-0.022638564,0.01171459,-0.067631579,0.019475021,-0.106866002,0.142901426,0.120965555,0.127268328,-0.050654647,0.170698621,0.029934338,0.065816614,0.029732583,-0.073808303,-0.021582734,0.078431373,-0.03479021,0.046187285,-0.008310249,0.059182961,0.02373496,-0.008050233,-0.049991884,-0.082521784,0.082122905,-0.03269661,0.102828678,-0.01984191,-0.02764977,0.265233582,-0.055250836,-0.105069385,0.025791139,-0.028536172,-0.136710067,-0.081846607,-0.133213141,0.00924428,0.09022212,-0.085276202,-0.026865672,-0.004011326,0.069414831,0.186530793
