Bank,Year,Date,Outstanding_Shares
ABCB,2016,12/31/16,68910896
ABCB,2017,12/31/17,68910896
ABCB,2018,12/31/18,68910896
ABCB,2019,12/31/19,68910896
ABCB,2020,12/31/20,68910896
ACNB,2016,12/31/16,10473700
ACNB,2017,12/31/17,10473700
ACNB,2018,12/31/18,10473700
ACNB,2019,12/31/19,10473700
ACNB,2020,12/31/20,10473700
AROW,2016,12/31/16,16478800
AROW,2017,12/31/17,16478800
AROW,2018,12/31/18,16478800
AROW,2019,12/31/19,16478800
AROW,2020,12/31/20,16478800
ASB,2016,12/31/16,165810000
ASB,2017,12/31/17,165810000
ASB,2018,12/31/18,165810000
ASB,2019,12/31/19,165810000
ASB,2020,12/31/20,165810000
ATLO,2016,12/31/16,8915560
ATLO,2017,12/31/17,8915560
ATLO,2018,12/31/18,8915560
ATLO,2019,12/31/19,8915560
ATLO,2020,12/31/20,8915560
AUBN,2016,12/31/16,3493700
AUBN,2017,12/31/17,3493700
AUBN,2018,12/31/18,3493700
AUBN,2019,12/31/19,3493700
AUBN,2020,12/31/20,3493700
BAC,2016,12/31/16,7531879936
BAC,2017,12/31/17,7531879936
BAC,2018,12/31/18,7531879936
BAC,2019,12/31/19,7531879936
BAC,2020,12/31/20,7531879936
BANC,2016,12/31/16,147140000
BANC,2017,12/31/17,147140000
BANC,2018,12/31/18,147140000
BANC,2019,12/31/19,147140000
BANC,2020,12/31/20,147140000
BANF,2016,12/31/16,33242800
BANF,2017,12/31/17,33242800
BANF,2018,12/31/18,33242800
BANF,2019,12/31/19,33242800
BANF,2020,12/31/20,33242800
BANR,2016,12/31/16,34580000
BANR,2017,12/31/17,34580000
BANR,2018,12/31/18,34580000
BANR,2019,12/31/19,34580000
BANR,2020,12/31/20,34580000
BCBP,2016,12/31/16,17162600
BCBP,2017,12/31/17,17162600
BCBP,2018,12/31/18,17162600
BCBP,2019,12/31/19,17162600
BCBP,2020,12/31/20,17162600
BFIN,2016,12/31/16,12460700
BFIN,2017,12/31/17,12460700
BFIN,2018,12/31/18,12460700
BFIN,2019,12/31/19,12460700
BFIN,2020,12/31/20,12460700
BHB,2016,12/31/16,15321800
