instrument,count
JPM.N,8
WBS.N,8
CVBF.OQ,8
FFIN.OQ,8
NBTB.OQ,8
BANF.OQ,8
PRK.A,8
UMBF.OQ,8
HTH.N,8
DFS.N,8
FHN.N,8
BANR.OQ,8
KEY.N,8
ONB.OQ,8
FLG.N,8
SNV.N,8
VLY.OQ,8
WTFC.OQ,8
CMA.N,8
HOMB.N,8
IBOC.OQ,8
USB.N,8
CBU.N,8
UCB.N,8
FRME.OQ,8
ASB.N,8
BKU.N,8
HWC.OQ,8
FULT.OQ,8
CBSH.OQ,8
TCBI.OQ,8
UBSI.OQ,8
BOKF.OQ,8
SFNC.OQ,8
CATY.OQ,8
WSFS.OQ,8
COLB.OQ,8
INDB.OQ,8
WSBC.OQ,8
ABCB.N,8
FFBC.OQ,8
FBNC.OQ,7
GBCI.N,7
EWBC.OQ,7
BANC.N,7
PB.N,7
FCNCA.OQ,7
FCF.N,7
BUSE.OQ,7
BOH.N,7
GABC.OQ,7
PNFP.OQ,7
TRST.OQ,7
BHB.A,7
PFS.N,7
TRMK.OQ,7
RF.N,7
HBAN.OQ,7
MTB.N,7
FITB.OQ,7
CFG.N,7
EFSC.OQ,7
HOPE.OQ,7
TFC.N,7
BHLB.N,7
OCFC.OQ,7
PNC.N,7
FMNB.OQ,7
FISI.OQ,7
CCNE.OQ,7
NWBI.OQ,7
WABC.OQ,7
WFC.N,7
MBWM.OQ,7
WTBA.OQ,7
HFWA.OQ,7
BMRC.OQ,7
PGC.OQ,7
WASH.OQ,7
HBNC.OQ,7
SBSI.N,7
FRST.OQ,7
BAC.N,7
RBCAA.OQ,7
FFIC.OQ,7
STBA.OQ,7
CPF.N,7
NBHC.N,7
EBTC.OQ,7
CNOB.OQ,7
GSBC.OQ,7
TFIN.OQ,7
HIFS.OQ,7
OSBC.OQ,7
CCBG.OQ,7
THFF.OQ,7
CHCO.OQ,7
LKFN.OQ,7
CFR.N,7
PFBC.OQ,7
NWFL.OQ,6
CUBI.N,6
OPOF.OQ,6
UVSP.OQ,6
PPBI.OQ,6
TBBK.OQ,6
SBCF.OQ,6
TOWN.OQ,6
SRCE.OQ,6
MPB.OQ,6
PEBO.OQ,6
QCRH.OQ,6
FMBH.OQ,6
MOFG.OQ,6
SHBI.OQ,6
BRKL.OQ,6
CAC.OQ,6
FNB.N,6
WAL.N,6
TCBK.OQ,6
SYBT.OQ,6
FUNC.OQ,6
PKBK.OQ,6
DCOM.OQ,6
NRIM.OQ,6
BWFG.OQ,6
ORRF.OQ,6
FBIZ.OQ,6
UNB.OQ,6
PFIS.OQ,6
LARK.OQ,6
HBCP.OQ,6
CZNC.OQ,6
AROW.OQ,6
PWOD.OQ,6
PEBK.OQ,6
OVBC.OQ,6
SFST.OQ,6
CBFV.OQ,6
FNLC.OQ,6
FCCO.OQ,6
EVBN.A,6
MFIN.OQ,6
CIVB.OQ,6
SBFG.OQ,6
CHMG.OQ,6
FNWB.OQ,6
CFFI.OQ,5
TMP.A,5
FGBI.OQ,5
INBK.OQ,5
FCBC.OQ,5
CBAN.N,5
HTBK.OQ,5
ISTR.OQ,5
AUBN.OQ,5
WNEB.OQ,5
FRCB.PK,5
SBNY.PK,5
OZK.OQ,5
HWBK.OQ,5
OVLY.OQ,5
ATLO.OQ,5
IBCP.OQ,5
ACNB.OQ,5
LCNB.OQ,5
PLBC.OQ,5
NKSH.OQ,4
HAFC.OQ,4
FSBW.OQ,4
EGBN.OQ,4
HMST.OQ,4
CADE.N,4
NFBK.OQ,4
ZION.OQ,4
FRBA.OQ,4
EBMT.OQ,3
CTBI.OQ,3
FLIC.OQ,3
FRBKQ.PK,3
UBFO.OQ,3
UNTY.OQ,2
PVBC.OQ,2
BSRR.OQ,2
BCBP.OQ,2
WSBF.OQ,2
VBTX.OQ,2
BFIN.OQ,2
