instrument,Year,distance_to_default,probability_of_default
ABCB.N,2016,25.776037064392675,1.0486267491302857e-143
ABCB.N,2017,44.23887782243974,0.0
ABCB.N,2018,26.373239259065382,1.3894719331931222e-153
ABCB.N,2019,22.737453576991665,3.768295867947696e-113
ABCB.N,2020,17.256691719846692,4.9829787190788366e-67
ABCB.N,2021,29.677457751734423,7.502979858787593e-194
ABCB.N,2022,23.98930261663084,1.7980631884091248e-127
ABCB.N,2023,18.794559642763996,3.843545335771063e-75
ACNB.OQ,2019,36.2983288316441,1.4296525573148773e-261
ACNB.OQ,2020,20.724669706052996,1.03773297202273e-95
ACNB.OQ,2021,52.19474044430767,0.0
ACNB.OQ,2022,25.983675694418586,5.405532601795095e-148
ACNB.OQ,2023,26.51449161418924,3.298636659308833e-155
AROW.OQ,2017,35.34017460297656,7.096395399620041e-274
AROW.OQ,2018,48.20516339758518,0.0
AROW.OQ,2019,42.03612494789768,0.0
AROW.OQ,2020,31.897973529837056,1.4242660820560658e-223
AROW.OQ,2021,65.8327399687978,0.0
AROW.OQ,2022,37.06713876638734,4.755628996055871e-301
ASB.N,2016,36.784660025101886,1.698576685496593e-280
ASB.N,2017,37.089537744268,2.0713671882233704e-301
ASB.N,2018,30.996775157958233,5.27153128988482e-166
ASB.N,2019,28.673555957838907,3.156507683955654e-180
ASB.N,2020,21.028176081721156,1.811569879726384e-98
ASB.N,2021,39.95072397272621,0.0
ASB.N,2022,21.886770169768745,1.7363200760313927e-106
ASB.N,2023,18.79882601402656,3.860318506266585e-79
ATLO.OQ,2018,43.20569194118564,0.0
ATLO.OQ,2019,52.30482888246219,0.0
ATLO.OQ,2021,55.00690236761855,0.0
ATLO.OQ,2022,81.65495987162335,0.0
ATLO.OQ,2023,26.464572534349053,9.333094501853616e-132
AUBN.OQ,2018,32.86306207059953,3.7062888873450965e-237
AUBN.OQ,2019,35.41347392734883,9.438134196897277e-250
AUBN.OQ,2020,21.114963236975516,3.9418561995860744e-97
AUBN.OQ,2021,63.2441117111276,0.0
AUBN.OQ,2022,45.89353477428325,0.0
BAC.N,2016,17.95141819171127,3.2048811056150055e-72
BAC.N,2017,43.32937178918943,0.0
BAC.N,2018,28.110557405353205,3.639120733763488e-174
BAC.N,2019,23.620533905157927,1.1856796193036863e-123
BAC.N,2020,15.982929202718829,2.361376367693106e-54
BAC.N,2021,26.87934870177706,3.623074429326969e-146
BAC.N,2022,18.05265093667141,3.759675089392467e-73
BANC.N,2017,25.6065029917074,6.456171816170235e-145
BANC.N,2018,21.69666347799191,4.319074767535996e-102
BANC.N,2019,23.976869848383423,2.42396066905034e-127
BANC.N,2020,12.324180761632068,3.4054978166709046e-35
BANC.N,2021,41.73993296263178,0.0
BANC.N,2022,45.27298960891716,0.0
BANC.N,2023,16.296425023846655,1.7702531776417278e-59
BANF.OQ,2016,52.35162537997813,0.0
BANF.OQ,2017,45.62687417416955,0.0
BANF.OQ,2018,53.091935893621134,0.0
BANF.OQ,2019,52.14247868902556,0.0
BANF.OQ,2020,20.101398423698,3.587162294386519e-90
BANF.OQ,2021,39.63327208667863,0.0
BANF.OQ,2022,30.974908582076743,5.869786202112622e-211
BANF.OQ,2023,39.64238219814778,0.0
BANR.OQ,2016,40.039477326562654,0.0
BANR.OQ,2017,50.51982621661601,0.0
BANR.OQ,2018,40.823063246177036,0.0
BANR.OQ,2019,28.619930960007636,1.8980624800908277e-180
BANR.OQ,2020,18.593753953583807,2.7614709862114287e-77
BANR.OQ,2021,36.734966085352326,1.0103820510060311e-295
BANR.OQ,2022,26.74846525719184,2.794006629281728e-154
BANR.OQ,2023,24.896417132160444,4.0677719184835406e-137
BCBP.OQ,2018,39.151522827688765,1.2295278378945132e-296
BCBP.OQ,2019,33.022947217220874,1.799658676467632e-232
BFIN.OQ,2018,55.98136189110886,0.0
BFIN.OQ,2019,71.22983802387388,0.0
BHB.A,2017,24.766929084785623,1.0187006604768886e-135
BHB.A,2018,30.021094604676872,2.6034629714809406e-198
BHB.A,2019,25.221655694422388,2.4661233567493355e-121
BHB.A,2020,23.401682712028602,1.033237025033996e-119
BHB.A,2021,27.475013258878075,1.7461489651266474e-166
BHB.A,2022,31.38301243035318,2.025164512803699e-215
BHB.A,2023,29.277494148607527,1.0032500614303636e-188
BHLB.N,2017,35.66856663291649,6.073440823650366e-279
BHLB.N,2018,21.356149641939865,9.267834598312828e-101
BHLB.N,2019,28.62880990531189,1.148154426580988e-174
BHLB.N,2020,10.733380966717068,1.9665598925818175e-26
BHLB.N,2021,33.52405366635893,3.444008451898931e-235
BHLB.N,2022,36.07211293445994,3.104522961584841e-285
BHLB.N,2023,25.354625397527844,3.9953029965059305e-142
BKU.N,2016,24.56239246568207,1.5943239612059683e-133
BKU.N,2017,34.55112553120252,6.854751354141674e-262
BKU.N,2018,32.808170378402785,2.2513209832344407e-236
BKU.N,2019,24.962208442396005,7.868895113946862e-138
BKU.N,2020,12.431186342996714,2.412276089219212e-35
BKU.N,2021,29.963154360505413,1.0726181670521223e-195
BKU.N,2022,21.39252037489498,7.842536361083765e-102
BKU.N,2023,10.221531080771804,7.940619061267588e-25
BMRC.OQ,2017,76.96953282374608,0.0
BMRC.OQ,2018,72.85021220912128,0.0
BMRC.OQ,2019,68.69626460205994,0.0
BMRC.OQ,2020,34.60300390465393,1.1384210899008514e-262
BMRC.OQ,2021,62.93816134187624,0.0
BMRC.OQ,2022,32.05089049160268,1.943257855101835e-211
BMRC.OQ,2023,22.972868890860973,4.364543487323614e-117
BOH.N,2016,48.95741971462783,0.0
BOH.N,2017,52.56627609973657,0.0
BOH.N,2018,36.71314090889558,2.253379071808221e-295
BOH.N,2019,37.78128978388434,0.0
BOH.N,2020,17.378760671865507,3.7396010887372e-67
BOH.N,2021,46.83936307055563,0.0
BOH.N,2022,38.62394900158247,0.0
BOKF.OQ,2016,23.39783211473915,2.2947597720180857e-121
BOKF.OQ,2017,34.63528166366386,3.7205377736172685e-263
BOKF.OQ,2018,25.68386854998903,3.768806956581956e-139
BOKF.OQ,2019,20.350694580605918,1.8564704480202618e-90
BOKF.OQ,2020,11.47559229966539,4.27165831392642e-30
BOKF.OQ,2021,34.18646486896176,1.9212413907612367e-256
BOKF.OQ,2022,16.6100820749208,2.9456273053626616e-62
BOKF.OQ,2023,16.60591126430919,7.796469244852651e-62
BRKL.OQ,2017,52.41016495087373,0.0
BRKL.OQ,2018,39.34605452291648,0.0
BRKL.OQ,2019,41.546072270572,0.0
BRKL.OQ,2020,24.009292338688013,1.1119783553069528e-127
BRKL.OQ,2021,42.37752787692683,0.0
BRKL.OQ,2022,28.54824489909205,1.4767311973095188e-179
BSRR.OQ,2018,39.05064757946342,0.0
BSRR.OQ,2019,38.9471378563613,0.0
